Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2023-05-11,00:00:00,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,2,3,5
2023-05-11,01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2023-05-11,02:00:00,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2,0,2
2023-05-11,03:00:00,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,0,4,4
2023-05-11,04:00:00,,,,1,,,,,,,,,1,,2,3,,4,,,1,1,,1,,,,,,,4,10,14
2023-05-11,05:00:00,,1,,1,,,,,,,,1,2,4,2,7,,2,,,2,2,,,,,,,,,6,18,24
2023-05-11,06:00:00,,,,,,,,,,,,,7,8,8,30,2,2,,,7,12,1,3,,,,,,,25,55,80
2023-05-11,07:00:00,,1,,,,,,,,1,,,8,11,32,53,6,5,1,,20,23,5,3,,,,,,,72,97,169
2023-05-11,08:00:00,,1,2,2,,,1,,3,,,,9,11,49,62,9,11,3,,25,13,6,14,,,,,,,107,114,221
2023-05-11,09:00:00,1,,1,1,,,,,4,2,,,11,19,58,99,18,24,,1,16,26,8,28,,,,,,,117,200,317
2023-05-11,10:00:00,,1,2,,,,,,1,3,,,22,24,64,95,20,17,,,27,31,17,23,,,,,,,153,194,347
2023-05-11,11:00:00,2,,1,2,,,1,,2,2,1,2,26,26,69,102,19,16,1,2,33,28,14,16,,,,1,,,169,197,366
2023-05-11,12:00:00,2,3,1,1,,,,,,,,,20,19,82,87,16,17,,2,54,27,7,10,,,,,,,182,166,348
2023-05-11,13:00:00,1,1,,,,,1,2,,,,,25,24,75,76,16,10,1,1,37,21,5,6,,,,,,,161,141,302
2023-05-11,14:00:00,,,,1,,,,,1,,,,17,17,76,66,13,9,1,1,19,11,12,13,,,,,,,139,118,257
2023-05-11,15:00:00,1,,,,,,,,3,2,,,18,20,81,69,9,9,,1,22,17,14,8,,,,,,,148,126,274
2023-05-11,16:00:00,,2,,,,,,2,2,,,,25,16,102,72,10,10,,1,12,16,15,5,,,,,,,166,124,290
