Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2016-03-28,00:00:00,,,,,3,,1,,,,,2,4,,,131,,,,,,,,,,,3,,,,11,133,144
2016-03-28,01:00:00,,,2,2,,3,,2,,,3,,3,1,,130,,,4,,,,,,,,6,3,,,18,141,159
2016-03-28,02:00:00,,,1,1,,1,3,4,,4,,2,,,103,154,,,1,3,,,8,,,,,4,3,,119,173,292
2016-03-28,03:00:00,1,,,2,5,3,2,3,6,,9,,1,,108,169,,,6,3,,,2,1,,1,,,,,140,182,322
2016-03-28,04:00:00,,,,1,4,,,,4,,,1,5,2,6,6,1,2,6,4,,,1,,,,,1,1,,28,17,45
2016-03-28,05:00:00,,,2,,3,2,2,,3,,,,2,1,26,29,,,2,,,,1,3,,,2,3,,,43,38,81
2016-03-28,06:00:00,,,,2,6,,1,1,,13,,,1,34,3,3,,,,25,,,,,,,,4,,,11,82,93
2016-03-28,07:00:00,,,2,,2,2,1,,1,2,2,1,4,3,8,85,,7,3,4,,,1,2,1,,7,8,,,32,114,146
2016-03-28,08:00:00,,,2,,,,2,,6,,2,2,2,13,35,95,,3,3,10,,,6,2,,,3,7,,,61,132,193
2016-03-28,09:00:00,3,,4,1,2,5,2,2,6,,,,3,10,152,103,1,1,,7,1,,,,1,,7,3,1,,183,132,315
2016-03-28,10:00:00,,,3,4,,,2,,3,,5,3,14,2,115,142,,,7,3,1,1,3,,,,15,11,,,168,166,334
2016-03-28,11:00:00,,,7,,2,,3,2,2,1,,,3,5,118,124,6,2,14,4,,,4,1,1,,8,4,1,,169,143,312
2016-03-28,12:00:00,,,3,,1,2,,,1,,,,18,13,116,126,,3,5,3,,,4,5,,1,7,6,,,155,159,314
2016-03-28,13:00:00,,,4,,1,,,,1,2,1,11,9,19,126,100,,,7,4,,1,3,,,,6,7,,,158,144,302
2016-03-28,14:00:00,2,1,3,2,6,5,1,,3,1,,,12,3,153,96,,5,6,7,,,,3,,,8,2,,,194,125,319
2016-03-28,15:00:00,,,4,2,3,4,1,,1,,1,4,9,7,70,118,,,6,9,1,,,2,,3,4,8,,,100,157,257
