Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2018-10-08,00:00:00,,,1,,,,,,,,,,,,4,1,,,,,,,1,,,,,,,,6,1,7
2018-10-08,01:00:00,,,,,,,,,,,,,1,1,2,1,,,,,,,,1,,,,,,,3,3,6
2018-10-08,02:00:00,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,2,2
2018-10-08,03:00:00,,1,,,,,,,,,,,,1,3,4,,1,,,,,,,,,,,,,3,7,10
2018-10-08,04:00:00,,,2,,,,6,,,,1,,1,4,5,8,,,,,3,1,1,,,,,,,,19,13,32
2018-10-08,05:00:00,,,3,2,,,1,2,4,4,1,3,1,3,14,41,4,1,1,12,7,12,,3,,,,,,,36,83,119
2018-10-08,06:00:00,1,,2,2,,,,1,1,7,,1,7,9,64,117,2,5,1,29,26,44,1,1,,,,,,,105,216,321
2018-10-08,07:00:00,,,4,6,,5,,2,3,6,,1,7,15,109,137,5,10,3,25,34,49,2,7,,,,,,,167,263,430
2018-10-08,08:00:00,,,2,3,,1,,2,10,8,2,,9,17,103,185,10,12,11,15,53,55,3,2,,,,1,,,203,301,504
2018-10-08,09:00:00,,,6,4,,,2,3,8,5,1,1,17,26,176,233,17,9,28,8,70,67,6,7,,,,,,,331,363,694
2018-10-08,10:00:00,1,1,2,7,,1,1,1,3,9,1,3,14,21,154,219,17,6,18,13,69,78,3,3,,,1,1,,,284,363,647
2018-10-08,11:00:00,,,4,5,1,,,2,2,4,2,2,15,20,159,217,9,10,13,15,85,76,4,8,,,,,,,294,359,653
2018-10-08,12:00:00,,,2,2,,,,1,2,2,1,1,15,5,73,90,3,7,3,15,46,36,1,,,,,,,,146,159,305
2018-10-08,13:00:00,1,,6,2,,1,1,1,7,3,2,2,17,20,198,206,13,11,10,10,81,81,3,2,,,,,,,339,339,678
2018-10-08,14:00:00,,,7,3,,2,2,3,6,6,5,1,21,15,192,149,15,8,15,7,72,73,5,3,,,,,,,340,270,610
2018-10-08,15:00:00,,,2,2,,,,,,1,1,1,4,3,66,41,4,4,5,4,20,14,1,2,,,,,,,103,72,175
