Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2021-03-15,00:00:00,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,2
2021-03-15,01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2021-03-15,02:00:00,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,2
2021-03-15,03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2021-03-15,04:00:00,,,1,1,,,,,,,,,,,,,,1,2,,1,,,1,,,,,,,4,3,7
2021-03-15,05:00:00,,,,4,,,,,,,,,,,5,1,,1,2,1,,,,2,,,,,,,7,9,16
2021-03-15,06:00:00,,,2,1,,1,,,,,,,,,6,4,3,,,2,,,4,,,,,,,,15,8,23
2021-03-15,07:00:00,,,1,3,,,,,,,1,,,,10,10,1,,3,1,1,,4,,,,,,,,21,14,35
2021-03-15,08:00:00,3,1,4,2,,,,,,,,,,,9,23,6,2,,1,2,2,4,5,,,,,,,28,36,64
2021-03-15,09:00:00,,,2,2,,,,,,3,,1,1,1,21,35,1,1,2,1,,2,5,53,,,,,,,32,99,131
2021-03-15,10:00:00,,,,2,,,1,,,,,1,1,,18,27,4,4,2,3,2,1,6,38,,,,,,,34,76,110
2021-03-15,11:00:00,,,2,,,,,,,,,1,1,,28,24,3,,1,,4,2,21,9,,,,,,,60,36,96
2021-03-15,12:00:00,,,3,2,,,,,,,,,2,,18,24,3,,,3,2,4,26,5,,,,,,,54,38,92
2021-03-15,13:00:00,,,1,4,,,,,1,,,,1,1,18,16,1,3,,2,2,1,40,11,,,,,,,64,38,102
2021-03-15,14:00:00,,,2,,,,,,1,,1,,1,1,21,14,4,1,1,1,2,,25,1,,,,,,,58,18,76
2021-03-15,15:00:00,,,1,1,,,,,1,,,1,,,27,21,2,2,1,,1,1,18,3,,,,,,,51,29,80
2021-03-15,16:00:00,1,,1,6,,,1,,,,1,,1,2,38,30,5,,1,2,1,4,5,6,,,,,,,55,50,105
2021-03-15,17:00:00,,,1,,,,1,,,,,,,1,17,17,,1,3,2,2,1,3,5,,,,,,,27,27,54
