Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2023-05-14,00:00:00,,6,1,1,,,,,,,,,2,4,8,5,,,,,,,,,,,,,,,11,16,27
2023-05-14,01:00:00,5,,,,,,,,,,,,3,3,9,4,,2,,,,,,,,,,,,,17,9,26
2023-05-14,02:00:00,1,1,,1,,,,,,,,,4,2,7,1,,,,,,,,,,,,,,,12,5,17
2023-05-14,03:00:00,,,,,,,1,,1,1,,,3,2,2,3,,2,1,,,,,,,,,,,,8,8,16
2023-05-14,04:00:00,2,,2,3,1,1,,1,1,5,2,,1,13,3,18,,5,,,1,5,1,4,,,,,,,14,55,69
2023-05-14,05:00:00,,2,4,,,,3,1,4,6,1,6,12,11,19,29,3,5,2,4,5,17,4,1,,,,,,,57,82,139
2023-05-14,06:00:00,1,3,10,6,,2,8,6,8,16,3,3,15,25,73,101,9,13,6,4,20,12,4,4,,,,,,,157,195,352
2023-05-14,07:00:00,6,1,6,2,,,10,9,20,17,,3,32,48,119,167,20,9,6,10,21,23,5,6,,,,,,,245,295,540
2023-05-14,08:00:00,9,5,6,1,1,,9,9,25,24,2,4,41,57,156,198,14,15,2,5,31,44,6,5,,,,,,,302,367,669
2023-05-14,09:00:00,7,4,6,12,,1,8,8,36,27,1,,47,76,293,378,21,13,12,13,37,52,7,10,,,,,,,475,594,1069
2023-05-14,10:00:00,11,4,11,2,1,1,4,6,27,25,,,60,75,260,357,21,20,8,9,48,70,9,21,,,,,,,460,590,1050
2023-05-14,11:00:00,7,20,12,14,,1,6,7,29,20,1,2,74,75,305,310,20,27,2,11,54,63,7,9,,,,,,,517,559,1076
2023-05-14,12:00:00,12,19,11,9,3,2,6,4,22,25,3,3,89,75,302,313,18,22,5,11,49,55,16,12,,,,,,,536,550,1086
2023-05-14,13:00:00,8,3,6,6,,3,5,14,12,25,,1,70,66,270,228,16,21,8,5,50,44,6,7,,,,,,,451,423,874
2023-05-14,14:00:00,7,9,13,13,1,3,6,9,12,24,1,,66,61,290,280,26,23,7,2,38,42,8,6,,,,,,,475,472,947
