Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2014-11-19,00:00:00,2,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,3,6
2014-11-19,01:00:00,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,2
2014-11-19,02:00:00,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,1,1
2014-11-19,03:00:00,2,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,1,4
2014-11-19,04:00:00,3,1,6,4,1,2,2,8,,2,5,1,1,1,10,2,1,,,,3,1,1,1,,,2,,,,35,23,58
2014-11-19,05:00:00,4,4,9,12,4,4,14,11,12,7,11,9,3,8,38,34,4,3,4,1,7,11,3,3,,,12,3,,,125,110,235
2014-11-19,06:00:00,13,3,25,9,8,4,26,8,6,10,22,8,6,2,148,30,31,2,10,2,22,6,27,4,3,1,20,8,3,,370,97,467
2014-11-19,07:00:00,8,3,30,10,13,3,12,3,8,2,20,6,4,4,212,54,21,6,9,9,28,15,41,8,2,,49,19,,,457,142,599
2014-11-19,08:00:00,2,3,22,10,5,3,21,3,19,4,19,8,2,8,222,10,8,8,12,12,39,22,35,7,,1,40,34,1,,447,133,580
2014-11-19,09:00:00,5,4,25,11,6,6,16,2,23,8,35,23,15,11,205,171,28,10,23,8,27,31,20,11,,,23,55,3,,454,351,805
2014-11-19,10:00:00,6,5,29,12,6,4,10,3,34,17,32,19,30,8,362,116,36,11,17,7,55,19,38,18,3,,53,21,3,1,714,261,975
2014-11-19,11:00:00,7,3,19,13,2,4,12,7,27,16,20,21,28,13,249,188,33,16,12,16,51,27,31,24,,,43,22,2,,536,370,906
2014-11-19,12:00:00,7,4,27,10,10,2,2,7,30,20,36,23,21,14,258,285,25,18,10,21,55,40,22,36,,,49,30,3,2,555,512,1067
2014-11-19,13:00:00,8,4,13,14,4,5,8,4,21,30,30,38,25,17,280,327,18,22,14,12,51,44,18,28,2,,54,34,1,,547,579,1126
2014-11-19,14:00:00,3,2,32,14,9,4,8,4,23,25,24,22,13,26,312,210,54,20,21,6,47,34,16,9,1,1,37,30,1,,601,407,1008
