Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2023-05-17,00:00:00,,1,5,4,,,,,,,,,8,7,16,20,1,2,,,,,2,2,,,,,,,32,36,68
2023-05-17,01:00:00,2,,4,2,,,,,,,,,4,3,6,4,1,2,,,,2,2,,,,,,,,19,13,32
2023-05-17,02:00:00,4,3,1,1,,,1,,,,,,7,5,5,6,1,2,,,,,,,,,,,,,19,17,36
2023-05-17,03:00:00,6,4,,2,,,1,,,,,,12,6,13,4,4,4,,,,1,,,,,,,,,36,21,57
2023-05-17,04:00:00,11,13,4,5,,,11,9,2,3,3,2,16,12,40,29,7,3,,,6,4,,5,,,,,,,100,85,185
2023-05-17,05:00:00,18,8,7,9,,,15,16,7,6,5,4,21,30,120,95,16,13,,2,41,32,7,6,,,,,,,257,221,478
2023-05-17,06:00:00,16,,13,23,8,6,5,14,26,24,2,17,40,40,303,251,34,31,2,5,98,97,17,12,,,,,,,564,520,1084
2023-05-17,07:00:00,22,12,19,27,15,9,14,22,41,32,,19,66,62,462,260,81,47,9,3,134,82,21,14,,,,,,,884,589,1473
2023-05-17,08:00:00,28,16,25,28,18,4,18,30,56,43,3,27,114,107,588,360,86,70,10,7,199,110,22,25,,,1,,,,1168,827,1995
2023-05-17,09:00:00,23,19,48,28,36,15,20,18,63,31,6,16,186,116,787,449,120,78,13,4,265,156,18,15,,,,1,,,1585,946,2531
2023-05-17,10:00:00,18,22,30,14,33,13,11,13,51,36,2,14,122,131,763,603,92,74,12,8,116,181,22,13,,,,4,,,1272,1126,2398
2023-05-17,11:00:00,14,16,25,31,18,17,7,10,48,40,,19,69,151,677,723,80,92,9,8,136,203,13,9,,,,2,,,1096,1321,2417
2023-05-17,12:00:00,23,26,29,36,31,22,21,13,53,41,3,8,107,178,759,774,88,113,10,10,201,183,16,9,,,2,1,,,1343,1414,2757
2023-05-17,13:00:00,13,12,26,26,18,20,7,16,43,32,5,4,67,201,631,721,62,104,4,13,143,215,9,11,,,,,,,1028,1375,2403
2023-05-17,14:00:00,20,19,9,35,23,23,12,9,36,24,1,,78,141,706,653,59,58,8,7,138,151,6,13,,,,,,,1096,1133,2229
