Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2018-10-07,00:00:00,,,,,,,,,,,,1,2,2,4,,1,1,,,1,1,,1,,,,,,,8,6,14
2018-10-07,01:00:00,,1,,1,,,,,,,,1,1,1,3,1,2,1,,,,,,,,,,,,,6,6,12
2018-10-07,02:00:00,,,3,,,,,,,,,,1,2,4,2,1,3,,,,,,1,,,,,,,9,8,17
2018-10-07,03:00:00,,,8,,,,,,,,,,,,7,3,7,7,,,,,1,,,,,,,,23,10,33
2018-10-07,04:00:00,1,,9,,,,1,,1,,1,2,2,2,23,17,16,11,,,9,7,5,2,,,,,,,68,41,109
2018-10-07,05:00:00,1,3,22,7,,,6,,1,1,3,5,1,6,51,40,14,27,,1,27,27,17,18,,,,,,,143,135,278
2018-10-07,06:00:00,1,3,8,25,1,5,2,1,1,8,4,3,3,14,61,105,29,38,3,3,55,61,19,24,,,,2,,,187,292,479
2018-10-07,07:00:00,3,7,9,17,,2,3,1,3,,10,18,11,12,127,149,20,38,3,4,52,87,38,14,,,,,,,279,349,628
2018-10-07,08:00:00,9,4,7,13,,1,3,2,9,12,11,16,8,14,167,178,27,23,5,2,62,72,51,27,,,,,,,359,364,723
2018-10-07,09:00:00,1,5,7,14,,1,1,,7,3,8,10,21,23,193,278,22,19,5,5,74,64,28,28,,,,,,,367,450,817
2018-10-07,10:00:00,3,3,12,11,,,1,,10,3,8,7,15,35,167,255,28,27,3,4,62,83,19,41,,,,,,,328,469,797
2018-10-07,11:00:00,6,4,11,8,,,,1,1,5,8,11,20,15,150,188,24,7,5,4,77,47,28,36,,,,,,,330,326,656
2018-10-07,12:00:00,3,4,9,19,,1,,3,2,7,13,12,15,26,205,205,26,16,4,4,67,83,31,33,,,,,,,375,413,788
2018-10-07,13:00:00,4,1,18,7,2,2,3,,10,9,9,12,23,20,229,180,26,27,8,8,81,89,46,31,,,,1,,,459,387,846
2018-10-07,14:00:00,1,2,20,12,2,,4,1,2,1,12,7,28,27,214,150,20,12,,2,92,84,45,47,,,,,,,440,345,785
2018-10-07,15:00:00,8,5,11,10,2,1,2,3,,1,13,9,26,22,214,184,18,12,8,3,81,84,32,23,,,1,,,,416,357,773
