Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2016-03-26,00:00:00,,3,44,2,,1,3,,,,,6,,1,16,6,,4,,1,,2,,3,,,,,,,63,29,92
2016-03-26,01:00:00,,1,6,3,,1,,,,,,1,,,15,6,,3,,,,1,,1,,,,,,,21,17,38
2016-03-26,02:00:00,,3,10,6,,1,,,,,,2,,1,8,15,,2,,,,,,,,,,,,,18,30,48
2016-03-26,03:00:00,,1,11,4,,1,,,,,9,3,,,14,4,,3,,,,,,,,,,,,,34,16,50
2016-03-26,04:00:00,,5,10,11,,2,,14,15,,14,12,8,19,82,71,10,2,,,7,,9,17,,,,,,,155,153,308
2016-03-26,05:00:00,,1,11,15,,3,1,5,8,9,3,17,5,11,58,86,2,9,2,3,4,,8,,,,1,,,,103,159,262
2016-03-26,06:00:00,,1,18,1,,2,6,2,16,2,20,6,24,29,195,77,23,22,,,10,8,16,17,,,,,,,328,167,495
2016-03-26,07:00:00,,14,8,10,8,3,6,10,32,3,25,5,25,9,205,100,20,4,9,4,20,5,45,5,1,4,1,8,,,405,184,589
2016-03-26,08:00:00,4,7,14,19,9,4,9,3,20,32,13,13,4,25,158,230,25,11,10,9,21,17,49,22,3,,9,13,,,348,405,753
2016-03-26,09:00:00,,3,21,36,8,,,16,28,34,7,15,9,22,223,199,20,21,21,8,21,14,49,27,2,7,6,29,,,415,431,846
2016-03-26,10:00:00,,,27,34,6,7,1,11,31,34,7,18,18,29,190,254,,39,11,39,30,20,57,51,,,17,23,,,395,559,954
2016-03-26,11:00:00,6,4,17,22,4,4,9,3,17,25,20,6,9,8,388,204,29,16,9,15,21,14,43,33,,,14,11,,,586,365,951
2016-03-26,12:00:00,1,3,34,25,7,1,1,3,22,21,24,6,4,25,309,185,38,22,8,8,46,10,33,26,,,12,13,,,539,348,887
2016-03-26,13:00:00,4,,25,27,3,16,3,4,40,43,12,17,32,17,164,283,9,15,10,12,28,14,46,39,,,13,18,,,389,505,894
2016-03-26,14:00:00,14,,24,37,,2,2,1,32,41,6,30,31,39,300,263,19,15,7,25,19,10,22,29,,,20,23,,,496,515,1011
