Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2017-02-21,00:00:00,,,2,1,1,2,,,,,,,,,,,2,2,,,,,2,1,,,,,,,7,6,13
2017-02-21,01:00:00,,,,2,2,,,,,,,,,,,,1,1,,,,,,1,,,,,,,3,4,7
2017-02-21,02:00:00,,,1,1,1,,,,,,,,,,,,2,2,,,,,1,2,,,,,,,5,5,10
2017-02-21,03:00:00,,,2,3,3,,,,,,,,,,,,3,2,,,,,2,2,,,,,,,10,7,17
2017-02-21,04:00:00,,,7,5,2,,,,,2,,,3,3,3,2,9,8,,,,,4,4,,,,,,,28,24,52
2017-02-21,05:00:00,1,,9,8,,1,,,2,3,,,2,5,1,4,7,9,,,,,1,8,,,,,,,23,38,61
2017-02-21,06:00:00,,,1,2,,,2,1,,,1,1,3,12,6,9,2,8,2,1,,,8,7,,,,,,,25,41,66
2017-02-21,07:00:00,,,10,4,,,4,,3,4,,1,4,10,32,32,11,27,1,2,2,,20,21,,,,,,,87,101,188
2017-02-21,08:00:00,,2,1,,3,,3,7,10,6,,,20,9,18,39,5,8,7,3,,3,17,17,2,,2,,,,88,94,182
2017-02-21,09:00:00,,,2,3,7,6,,4,5,3,,,37,46,40,44,12,12,7,7,,,23,19,,,,,,,133,144,277
2017-02-21,10:00:00,,,,8,8,2,6,2,1,1,,,35,16,49,63,14,18,3,4,,,16,37,,,,,,,132,151,283
2017-02-21,11:00:00,,,,13,4,2,2,1,2,5,,,33,19,45,45,12,14,2,2,,,31,33,,,,,,,131,134,265
2017-02-21,12:00:00,,1,6,5,8,,3,,4,4,,,32,27,49,47,18,17,2,4,1,,48,50,,,,,,,171,155,326
2017-02-21,13:00:00,,,3,5,9,,4,,3,10,,,33,15,47,37,23,12,7,9,2,,42,34,,,,,,,173,122,295
2017-02-21,14:00:00,,2,,4,4,2,,2,2,,,,23,24,32,47,31,12,,1,,,26,36,2,,,,,,120,130,250
2017-02-21,15:00:00,2,,3,8,11,2,2,4,5,7,1,,28,2,28,60,31,17,8,3,,,38,22,,,,,,,157,125,282
2017-02-21,16:00:00,,,,5,7,,,,2,2,,,21,33,32,42,22,11,2,2,,,22,28,1,,,,,,109,123,232
