Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2013-01-22,00:00:00,14,9,20,17,9,7,,,,,,,,18,7,13,,2,,,,,9,8,,,,,,,59,74,133
2013-01-22,01:00:00,7,12,17,7,5,2,,,,,,,4,7,8,7,,,,,,,8,12,,,,,,,49,47,96
2013-01-22,02:00:00,7,2,7,3,4,2,,,,,,,2,3,2,2,,,,,,,4,4,,,,,,,26,16,42
2013-01-22,03:00:00,6,7,2,2,1,1,,,,,,,2,5,1,3,,,,,,,7,3,,,,,,,19,21,40
2013-01-22,04:00:00,18,12,23,17,12,2,7,7,,,2,1,13,7,19,8,,2,,,,,13,7,,,,,,,107,63,170
2013-01-22,05:00:00,12,18,28,23,7,7,18,13,2,,,6,8,12,19,17,5,7,2,7,3,8,13,18,2,,,,,,119,136,255
2013-01-22,06:00:00,7,7,8,16,2,3,6,13,6,13,7,4,2,2,24,31,6,1,,1,,,8,12,,,,,,,76,103,179
2013-01-22,07:00:00,5,3,2,3,5,4,15,5,15,15,1,1,8,11,20,28,1,,5,,1,,5,5,4,,,,,,87,75,162
2013-01-22,08:00:00,4,3,7,8,6,6,14,1,23,26,2,,11,14,75,77,5,4,4,7,4,2,10,3,2,,1,4,,,168,155,323
2013-01-22,09:00:00,3,6,10,7,5,3,2,4,41,32,2,,24,23,108,103,8,6,5,6,5,4,11,11,,,5,3,,,229,208,437
2013-01-22,10:00:00,4,1,8,6,7,2,1,3,26,28,1,,16,26,121,175,6,6,9,8,3,5,12,18,1,1,5,7,,,220,286,506
2013-01-22,11:00:00,3,4,12,4,8,2,2,3,21,26,3,1,32,33,170,210,6,7,5,9,8,10,9,6,,2,6,10,,,285,327,612
2013-01-22,12:00:00,,3,8,6,8,3,8,3,28,24,,1,36,27,215,180,12,1,11,7,7,5,15,13,1,1,5,13,,,354,287,641
2013-01-22,13:00:00,1,,14,3,6,6,3,,27,29,1,,29,23,180,205,10,9,14,9,5,5,15,15,,,6,10,,,311,314,625
2013-01-22,14:00:00,5,3,8,10,5,5,2,1,26,25,1,,31,18,175,199,6,4,9,10,5,5,13,18,,,1,1,,,287,299,586
