Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2011-11-12,00:00:00,,,4,3,,1,1,,,,,1,1,2,12,12,1,,,,,,,2,,,,,,,19,21,40
2011-11-12,01:00:00,3,,3,4,,,,,,,,,1,,6,,,1,,,,,1,1,,,,,,,14,6,20
2011-11-12,02:00:00,,,5,6,3,2,,,,,,,1,,2,,1,,,,,,1,,,,,,,,13,8,21
2011-11-12,03:00:00,2,,3,5,2,3,,2,,2,,,,1,3,1,2,3,,,,,2,4,,,,,,,14,21,35
2011-11-12,04:00:00,3,,,6,,,,6,,20,,,3,21,,25,2,18,,,,,1,2,,,,,,,9,98,107
2011-11-12,05:00:00,1,3,7,8,1,20,2,5,,80,,3,2,35,4,90,7,12,,10,,,4,5,,,,,,,28,271,299
2011-11-12,06:00:00,22,7,28,38,28,31,16,3,75,50,40,26,83,55,155,88,43,55,25,20,,11,85,64,5,,5,9,,,610,457,1067
2011-11-12,07:00:00,,8,,,,25,,10,45,50,,,35,40,180,128,,13,,25,,,,22,,,,,,,260,321,581
2011-11-12,08:00:00,,,,5,,,,,,49,,29,,1,175,75,,22,,,,,,,,,,,,,175,181,356
2011-11-12,09:00:00,,,,,,,,,,5,,,,,200,75,,,,,,,,,,,,,,,200,80,280
2011-11-12,10:00:00,,,,,,,,,,,,,,,200,75,,,,,,,,,,,,,,,200,75,275
2011-11-12,11:00:00,7,3,8,6,5,1,,1,25,20,5,1,20,25,185,93,15,2,5,,5,,10,9,,,5,,,,295,161,456
2011-11-12,12:00:00,8,15,15,25,8,10,6,5,31,49,12,25,23,50,106,165,12,20,15,20,,,30,55,,5,5,5,,,271,449,720
2011-11-12,13:00:00,10,,10,24,5,17,6,5,30,40,,,25,25,150,215,,35,,13,,,,20,,,,5,,,236,399,635
2011-11-12,14:00:00,15,10,10,15,5,5,6,5,25,25,10,13,26,31,205,205,24,10,10,5,,,30,25,5,,,5,,,371,354,725
2011-11-12,15:00:00,5,10,10,24,5,17,5,10,19,40,10,14,20,45,163,185,5,23,,15,,,13,33,,,5,,,,260,416,676
