Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2011-11-12,00:00:00,,,7,2,2,,,,,,,,1,,,,,,,,,,4,2,,,,,,,14,4,18
2011-11-12,01:00:00,,1,3,6,3,,,,,,,,,,,2,,,,,,,2,,,,,,,,8,9,17
2011-11-12,02:00:00,,,2,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,6,8
2011-11-12,03:00:00,,2,2,6,2,,,,,,,,2,1,,,4,,,,,,,,,,,,,,10,9,19
2011-11-12,04:00:00,,,3,2,3,,10,5,1,3,,,1,2,2,5,1,2,1,,1,,3,2,,,,,,,26,21,47
2011-11-12,05:00:00,3,1,9,6,2,2,12,2,1,8,4,2,2,2,13,15,1,6,1,2,1,,2,6,,1,,2,,,51,55,106
2011-11-12,06:00:00,2,,2,1,5,1,2,,4,3,4,2,1,,128,66,1,1,1,2,,,2,,,,1,2,,,153,78,231
2011-11-12,07:00:00,,,,,,,,,,,,,,,80,55,,,,,,,,,,,,,,,80,55,135
2011-11-12,08:00:00,3,1,6,4,12,3,6,5,38,31,12,6,28,17,115,110,3,13,11,5,,1,11,2,,,12,11,,,257,209,466
2011-11-12,09:00:00,8,4,5,2,3,3,3,2,23,24,,5,22,15,107,110,3,5,2,5,,,2,10,,,3,9,,,181,194,375
2011-11-12,10:00:00,20,4,5,10,10,9,13,2,48,41,12,8,48,45,140,150,23,13,11,12,,,20,12,,1,13,12,,,363,319,682
2011-11-12,11:00:00,,,,1,,6,,2,8,15,,4,7,11,132,128,4,9,6,1,,,3,2,,,1,4,,,161,183,344
2011-11-12,12:00:00,16,2,4,10,7,5,11,3,17,32,10,5,27,22,273,155,12,6,7,10,,,12,8,,2,7,7,,,403,267,670
2011-11-12,13:00:00,10,16,7,23,7,6,5,4,36,34,9,5,20,30,190,150,9,5,11,17,,,5,33,,,11,20,,,320,343,663
2011-11-12,14:00:00,2,,7,1,2,5,5,,23,8,9,3,25,26,120,150,11,4,4,1,,,9,2,,,3,1,,,220,201,421
2011-11-12,15:00:00,7,6,7,11,5,6,8,7,20,22,13,4,21,31,125,120,7,13,12,9,,,11,6,,,2,3,,,238,238,476
