Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2021-03-17,00:00:00,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,0,1
2021-03-17,01:00:00,,,,1,,,,,,,,,2,,2,,,,,,,,,,,,,,,,4,1,5
2021-03-17,02:00:00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,1,1
2021-03-17,03:00:00,1,,,1,,,,,,,,,,,4,3,,1,,,,,,,,,,,,,5,5,10
2021-03-17,04:00:00,4,1,3,4,,,7,,,,1,,2,,3,7,1,1,,,,2,,,,,,,,,21,15,36
2021-03-17,05:00:00,,1,,11,,,3,5,,6,,3,,2,26,38,2,3,,2,3,14,1,3,,,,,,,35,88,123
2021-03-17,06:00:00,1,4,17,21,,2,1,3,2,3,3,,2,2,35,72,1,12,1,5,17,25,,,,,,,,,80,149,229
2021-03-17,07:00:00,5,1,14,9,,2,1,4,1,4,,1,4,3,99,178,12,20,2,1,30,52,3,4,,,,,,,171,279,450
2021-03-17,08:00:00,3,3,11,14,,1,2,7,4,3,4,4,10,7,123,187,18,90,,7,58,66,4,6,,,,,,,237,395,632
2021-03-17,09:00:00,,3,10,9,,2,3,6,3,3,5,3,10,8,195,251,17,21,3,6,56,67,2,8,,,,,,,304,387,691
2021-03-17,10:00:00,,1,23,5,3,1,2,1,7,2,2,2,14,9,173,208,16,25,5,6,51,67,3,7,,,,,,,299,334,633
2021-03-17,11:00:00,4,5,8,6,,1,3,2,4,1,2,2,2,13,176,207,15,18,7,10,70,61,8,7,,,,,,,299,333,632
2021-03-17,12:00:00,6,11,11,12,,1,3,4,,9,5,,8,8,164,180,17,21,8,7,66,61,2,4,,,,,,,290,318,608
2021-03-17,13:00:00,4,4,15,7,,1,2,1,,,5,,10,8,140,141,9,13,12,4,54,60,5,9,,,,,,,256,248,504
2021-03-17,14:00:00,3,4,15,11,,,4,3,1,2,1,2,9,3,153,175,13,7,8,4,60,56,5,6,,,,1,,,272,274,546
2021-03-17,15:00:00,1,11,9,13,,1,3,3,5,1,6,6,10,4,172,164,20,19,8,7,53,58,9,11,,,,,,,296,298,594
