Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2016-03-28,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2016-03-28,01:00:00,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,1,3
2016-03-28,02:00:00,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2
2016-03-28,03:00:00,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,2
2016-03-28,04:00:00,,,,,,1,,,,,,,,,,1,,2,,2,1,,1,,,,,,,,2,6,8
2016-03-28,05:00:00,,,2,2,,2,1,2,,,1,,,,,,1,,,,,,,,,,,,,,5,6,11
2016-03-28,06:00:00,,,,1,5,1,1,,,,,2,4,5,4,3,3,,2,1,,,2,3,,,,,,,21,16,37
2016-03-28,07:00:00,,,1,2,1,3,,,1,,,1,8,9,22,15,1,5,,,,,,3,,,,,,,34,38,72
2016-03-28,08:00:00,,,1,1,,,2,,1,3,24,20,13,4,4,6,3,1,3,1,,,,10,,,,,,,51,46,97
2016-03-28,09:00:00,,,,2,,2,1,,,1,9,7,5,3,16,21,7,,3,,,,1,5,,,,,,,42,41,83
2016-03-28,10:00:00,,,,,2,3,1,,,5,1,6,6,7,19,19,4,7,3,5,,,7,8,,,,,,,43,60,103
2016-03-28,11:00:00,,,,1,,,1,,,,,,4,6,17,12,2,3,5,1,,,6,3,,,,,,,35,26,61
2016-03-28,12:00:00,,,1,,,1,,,,1,,,7,7,13,14,6,,1,,,,3,2,,,,,,,31,25,56
2016-03-28,13:00:00,,,,,,,,2,,1,1,6,5,3,10,16,6,,,,,,5,2,,,,,,,27,30,57
2016-03-28,14:00:00,,,,,5,,,,1,2,1,,10,8,22,11,7,3,,,,,,2,,,,,,,46,26,72
2016-03-28,15:00:00,,,2,,,1,,2,2,1,1,3,17,10,43,13,11,1,1,2,,,3,1,,,,,,,80,34,114
2016-03-28,16:00:00,,,1,1,,,,2,,4,20,10,15,4,37,10,3,1,,2,,,2,4,,,,,,,78,38,116
2016-03-28,17:00:00,,,1,,3,,,,,1,19,,9,3,22,12,1,1,2,,,,1,2,,,,,,,58,19,77
