Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2011-11-12,00:00:00,3,1,5,2,3,3,,,,,,,1,1,65,5,,,,,,,1,1,,,,,,,78,13,91
2011-11-12,01:00:00,,,2,2,2,,,,,,,,,2,52,2,,,,,,,,2,,,,,,,56,8,64
2011-11-12,02:00:00,1,,3,1,,2,,,,,,,,,50,1,,,,,,,2,,,,,,,,56,4,60
2011-11-12,03:00:00,,,,3,,,,,,,,,,1,18,2,,,,,,,,1,,,,,,,18,7,25
2011-11-12,04:00:00,3,,2,1,1,1,,,1,,,,2,1,10,3,1,1,,1,,,3,2,,,4,4,,,27,14,41
2011-11-12,05:00:00,2,,,2,,2,1,1,6,2,,,2,1,10,10,2,7,1,2,,,6,3,,,5,2,,,35,32,67
2011-11-12,06:00:00,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,0,10,10
2011-11-12,07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2011-11-12,08:00:00,,,1,,4,3,,,7,11,7,5,12,13,50,50,2,1,2,9,,,3,4,1,1,13,25,,,102,122,224
2011-11-12,09:00:00,1,1,1,1,3,5,,,9,13,3,5,7,20,50,50,2,2,2,11,1,,3,8,,2,30,16,,,112,134,246
2011-11-12,10:00:00,2,,1,,9,1,,4,5,11,3,10,20,11,50,50,3,,1,5,,,2,3,,,21,32,,,117,127,244
2011-11-12,11:00:00,,1,5,4,5,4,,1,4,4,1,11,20,15,50,50,2,7,7,7,,,7,4,1,1,38,20,,,140,129,269
2011-11-12,12:00:00,,2,4,6,1,5,1,3,5,10,4,,17,36,90,85,5,10,8,9,,,5,,1,,29,43,,,170,209,379
2011-11-12,13:00:00,,,3,,5,1,2,,4,8,1,,3,9,100,90,2,,3,1,,,3,6,,,17,2,,,143,117,260
2011-11-12,14:00:00,1,,,2,4,5,1,,5,9,3,4,22,18,100,100,3,6,8,4,,,1,7,1,,39,18,,,188,173,361
2011-11-12,15:00:00,,,3,1,1,5,1,3,6,7,,1,14,18,100,100,,1,3,3,,,4,5,3,,39,28,,,174,172,346
