Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2022-01-22,00:00:00,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,0,2
2022-01-22,01:00:00,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0,1
2022-01-22,02:00:00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,1,1
2022-01-22,03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2022-01-22,04:00:00,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,0,3,3
2022-01-22,05:00:00,,,1,1,,,,,,,,3,,,,1,,1,,,,,,1,,,,,,,1,7,8
2022-01-22,06:00:00,,,2,,,,,,,,2,4,2,1,2,1,,2,,,,1,,8,,,,,,,8,17,25
2022-01-22,07:00:00,,,,5,,,,,,,2,6,,,12,21,3,6,,1,1,4,2,2,,,,,,,20,45,65
2022-01-22,08:00:00,,,,,,,,,,,3,1,2,2,36,41,8,6,,1,10,13,2,6,,,,,,,61,70,131
2022-01-22,09:00:00,,,1,1,1,1,,,,,9,8,1,6,40,49,9,13,2,1,11,17,8,11,,,,,,,82,107,189
2022-01-22,10:00:00,,,1,1,,,,,,,6,12,2,,43,55,8,13,,,17,14,13,9,,,,,,,90,104,194
2022-01-22,11:00:00,,,1,2,,,,,,1,6,6,2,,37,70,9,4,,,21,20,4,12,,,,,,,80,115,195
2022-01-22,12:00:00,,,,1,2,,,,,,11,13,3,5,53,42,7,5,,,13,14,5,8,,,,,,,94,88,182
2022-01-22,13:00:00,,,,2,1,2,,,,,5,11,3,2,32,9,5,3,1,2,7,19,4,4,,,,,,,58,54,112
2022-01-22,14:00:00,,,,,1,2,,,,,5,4,,2,38,25,14,5,1,1,18,10,11,2,,,,,,,88,51,139
2022-01-22,15:00:00,,,1,,3,,,,,,12,7,2,2,35,22,17,6,,1,16,11,8,3,,,,,,,94,52,146
2022-01-22,16:00:00,,,,1,,,,,,,8,4,4,,54,28,9,7,1,,10,16,12,4,,,,,,,98,60,158
2022-01-22,17:00:00,,,2,4,,,,,,,11,8,4,1,51,37,8,8,,,15,5,9,6,,,,,,,100,69,169
