Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2012-12-19,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,1,1
2012-12-19,01:00:00,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,1,3
2012-12-19,02:00:00,,,1,2,,,,,,,,,1,,,,,1,,,,,1,2,,,,,,,3,5,8
2012-12-19,03:00:00,,,,1,1,1,,,,,,,2,1,,1,1,2,,,,,,,,,,,,,4,6,10
2012-12-19,04:00:00,,1,1,,2,1,1,,1,1,,,1,,1,3,2,1,,1,,,1,1,,,,,,,10,9,19
2012-12-19,05:00:00,1,,3,2,1,2,3,2,1,2,2,1,1,1,3,4,3,2,1,2,,,2,3,,,,,,,21,21,42
2012-12-19,06:00:00,,,3,3,1,2,1,1,,2,,,2,2,8,10,13,2,,,,,2,2,,,,,,,30,24,54
2012-12-19,07:00:00,1,1,3,1,,,1,4,2,,,,5,4,19,8,8,3,3,2,,,8,7,,,,,,,50,30,80
2012-12-19,08:00:00,1,,3,4,,,,,2,2,,1,7,1,23,18,6,3,1,,,,13,16,,,,,,,56,45,101
2012-12-19,09:00:00,,,7,1,2,3,,1,3,3,,3,10,10,30,29,6,6,,,,,11,15,,,,,,,69,71,140
2012-12-19,10:00:00,,,1,1,1,3,1,,1,2,,,7,13,54,43,7,12,1,2,,,13,17,,,,,,,86,93,179
2012-12-19,11:00:00,,,4,5,1,3,1,,4,3,3,2,10,7,50,36,8,4,4,1,,,14,10,,,,,,,99,71,170
2012-12-19,12:00:00,,1,3,4,2,3,,1,3,1,,1,9,13,48,32,3,7,,,,,16,9,,,,,,,84,72,156
2012-12-19,13:00:00,,,2,1,,,2,1,3,1,3,2,8,9,51,41,5,6,2,3,,,13,10,,,,,,,89,74,163
2012-12-19,14:00:00,,,2,2,1,,3,,,1,2,1,11,15,60,50,3,7,1,1,,,24,6,,,,,,,107,83,190
2012-12-19,15:00:00,,,3,2,,1,3,,2,2,2,,13,10,53,35,5,15,1,,,,8,16,,,,,,,90,81,171
2012-12-19,16:00:00,,,1,2,,3,1,,1,2,1,,12,6,48,34,3,11,2,2,,,8,8,,,,,,,77,68,145
