Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2014-11-19,00:00:00,1,,1,,,,1,,,,,,,1,,,1,,,,,,1,1,,,,,,,5,2,7
2014-11-19,01:00:00,1,,1,,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,,5,1,6
2014-11-19,02:00:00,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,0,2
2014-11-19,03:00:00,1,1,1,1,,,,,1,,,,1,,9,,1,,,,,,1,1,,,,,,,15,3,18
2014-11-19,04:00:00,,,1,1,,,,,1,1,,,1,,31,17,,1,,,,,3,,,,,,,,37,20,57
2014-11-19,05:00:00,,,,,,,,,3,4,,,1,2,47,66,3,,,,,,1,4,,,,,,,55,76,131
2014-11-19,06:00:00,,,2,1,4,2,4,4,5,3,10,6,2,2,39,27,1,1,1,1,,,3,1,,,1,,,,72,48,120
2014-11-19,07:00:00,3,1,4,2,4,,2,,5,2,6,7,3,3,55,69,3,,3,1,1,1,2,1,,,5,1,,,96,88,184
2014-11-19,08:00:00,6,1,4,1,4,1,2,1,7,2,5,6,5,3,57,113,4,1,3,1,4,1,4,3,,,1,3,,,106,137,243
2014-11-19,09:00:00,2,1,3,1,5,3,3,2,10,4,9,5,6,8,87,101,8,3,4,,1,2,8,5,,,6,5,,,152,140,292
2014-11-19,10:00:00,2,1,3,1,6,,2,1,8,6,11,6,23,9,238,180,15,6,3,3,4,6,7,12,2,,19,8,,,343,239,582
2014-11-19,11:00:00,3,1,6,3,8,,3,1,10,9,17,13,30,9,284,197,22,12,6,4,7,10,18,15,5,,30,25,,,449,299,748
2014-11-19,12:00:00,3,1,9,2,10,8,2,,32,19,24,37,33,32,248,289,33,24,17,14,10,19,26,21,15,2,53,66,,,515,534,1049
2014-11-19,13:00:00,1,1,9,14,13,10,2,4,19,32,22,26,24,37,315,412,18,40,16,15,21,28,24,21,13,4,63,53,,,560,697,1257
2014-11-19,14:00:00,1,,16,24,8,16,8,5,28,28,33,33,19,25,325,325,22,36,15,9,27,63,26,29,4,,68,98,4,3,604,694,1298
