Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2016-03-28,00:00:00,,,,,,,,1,,,,,,,5,,,,1,,,,,,,,,,,,6,1,7
2016-03-28,01:00:00,2,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,8,0,8
2016-03-28,02:00:00,,4,1,,1,,,,,,,,1,,1,4,,,1,,,,,1,,,,,,,5,9,14
2016-03-28,03:00:00,12,,10,,1,1,,,1,,,,,1,1,2,1,,,,,,,,,,,,,,26,4,30
2016-03-28,04:00:00,,,6,2,,3,,,,3,,,,,7,,,3,,,,,1,,,,,1,,,14,12,26
2016-03-28,05:00:00,5,,5,5,2,,3,1,3,,,,,10,18,22,,1,,1,,,,6,,,,,1,2,37,48,85
2016-03-28,06:00:00,7,,5,6,,,,1,6,,,,2,,73,53,2,1,2,2,,,2,3,,,4,16,1,1,104,83,187
2016-03-28,07:00:00,1,1,6,6,2,1,,1,,8,1,1,1,2,47,64,1,2,8,2,,1,4,5,,,4,37,,,75,131,206
2016-03-28,08:00:00,3,1,7,4,,3,2,5,7,7,,8,5,8,83,126,1,3,9,7,,2,2,5,,,20,16,2,,141,195,336
2016-03-28,09:00:00,,,2,5,1,8,1,4,11,22,,2,6,12,124,142,1,4,6,2,,2,13,9,,1,49,17,4,,218,230,448
2016-03-28,10:00:00,5,2,1,4,7,1,3,2,7,3,,4,3,3,150,150,2,4,2,4,,,8,7,2,,30,30,1,1,221,215,436
2016-03-28,11:00:00,2,6,17,3,4,,3,2,2,2,5,,2,4,58,207,2,1,2,12,4,3,5,4,1,3,105,115,,3,212,365,577
2016-03-28,12:00:00,1,,10,3,1,2,1,2,1,,,,2,7,100,123,12,3,2,4,2,4,6,8,,,117,95,3,5,258,256,514
2016-03-28,13:00:00,3,,1,5,1,4,,1,8,5,,,7,6,99,135,7,5,3,2,,,6,2,,,27,23,,1,162,189,351
2016-03-28,14:00:00,,1,2,5,1,4,,,1,3,,,10,2,86,93,4,5,5,1,2,4,1,3,,,112,115,,2,224,238,462
2016-03-28,15:00:00,,3,4,3,4,2,2,3,11,7,4,,8,9,129,135,,4,6,7,2,,4,3,,,26,171,2,,202,347,549
