Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2022-01-16,00:00:00,1,,,,,,,,,,,,,,2,2,,,,,,1,2,1,,,,,,,5,4,9
2022-01-16,01:00:00,4,2,,,,,,,,,,,,,1,1,,1,,,,1,,1,,,,,,,5,6,11
2022-01-16,02:00:00,,1,,,,,,,,,1,,,,2,1,,,,,1,1,,,,,,,,,4,3,7
2022-01-16,03:00:00,,1,1,,,,,,,,,,,,3,,1,1,,,1,,,,,,,,,,6,2,8
2022-01-16,04:00:00,2,7,2,,,,,,,,1,2,,,5,5,2,3,1,,9,1,3,1,,,,,,,25,19,44
2022-01-16,05:00:00,2,9,,1,,,,,,1,1,1,,,28,26,8,6,1,7,12,1,1,1,,,,,,,53,53,106
2022-01-16,06:00:00,4,11,1,2,,,,,,2,,2,1,2,79,49,2,3,1,10,39,11,2,1,,,,,,,129,93,222
2022-01-16,07:00:00,2,8,1,1,,,,,5,3,2,1,2,3,181,106,4,6,,8,72,44,2,1,,,,,,,271,181,452
2022-01-16,08:00:00,1,9,3,2,,,,,5,3,6,2,1,4,374,228,9,10,13,11,143,70,2,6,,,,,,,557,345,902
2022-01-16,09:00:00,8,6,3,1,,,,,4,3,6,3,5,8,516,346,13,11,26,13,202,130,13,14,,,,,,,796,535,1331
2022-01-16,10:00:00,2,7,3,7,1,,,,3,4,9,3,5,8,577,367,5,9,22,19,248,199,16,13,,,,1,,1,891,638,1529
2022-01-16,11:00:00,6,9,5,4,,,,1,5,5,8,2,8,14,541,423,10,15,23,25,273,257,9,34,,,,,,1,888,790,1678
2022-01-16,12:00:00,8,6,4,4,,,,,6,4,6,5,9,10,506,468,8,13,23,15,250,259,26,23,,,,4,,,846,811,1657
2022-01-16,13:00:00,2,4,7,7,,,,,3,4,5,5,12,11,423,438,12,16,16,26,238,297,15,17,,,,1,,,733,826,1559
2022-01-16,14:00:00,10,6,4,4,,,1,,5,4,5,9,5,7,398,518,12,8,15,16,252,280,15,19,,,,,,1,722,872,1594
2022-01-16,15:00:00,8,3,4,6,,,,,2,6,5,3,10,12,429,504,8,15,13,23,271,319,16,15,,,,,,,766,906,1672
