Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2025-02-20,00:00:00,7,11,1,1,1,2,,,,1,,1,5,13,12,12,5,3,,,4,5,1,,,,,,,,36,49,85
2025-02-20,01:00:00,2,4,2,,3,3,,,,,,,10,11,6,10,2,7,,1,2,1,4,4,,,,,,,31,41,72
2025-02-20,02:00:00,4,11,2,1,,1,,,,,,2,4,4,5,3,2,5,,,2,6,3,3,,,,,,,22,36,58
2025-02-20,03:00:00,2,6,3,2,1,3,,4,,4,,3,1,7,8,11,10,7,,,1,5,,4,,,,,,,26,56,82
2025-02-20,04:00:00,1,7,1,2,4,8,6,17,6,6,6,4,9,9,23,29,7,8,,,9,18,7,4,,,,,,,79,112,191
2025-02-20,05:00:00,2,12,1,,15,5,20,14,7,6,10,4,21,22,55,84,7,9,4,,22,41,15,14,,,,,,,179,211,390
2025-02-20,06:00:00,2,24,4,7,18,16,35,18,6,17,20,9,39,39,204,240,21,14,5,1,88,98,15,15,,,1,,,,458,498,956
2025-02-20,07:00:00,3,20,3,15,20,22,39,22,9,12,16,6,48,63,310,364,23,21,3,6,167,182,22,17,,,1,,,,664,750,1414
2025-02-20,08:00:00,5,19,8,13,18,16,41,34,18,26,9,5,68,77,500,500,40,39,5,11,203,224,22,24,,,2,,,,939,988,1927
2025-02-20,09:00:00,9,10,6,8,24,14,39,32,20,16,9,4,87,96,484,796,39,37,8,13,270,270,17,21,,,2,,,,1014,1317,2331
2025-02-20,10:00:00,10,12,20,2,16,18,31,39,15,9,12,11,86,89,595,643,50,47,9,9,284,320,30,26,,,1,,,,1159,1225,2384
2025-02-20,11:00:00,9,8,6,10,16,21,36,29,14,6,10,9,73,75,630,674,39,42,7,5,354,352,26,20,,,1,,,,1221,1251,2472
2025-02-20,12:00:00,10,3,7,5,21,21,32,30,10,7,7,6,66,88,577,716,46,63,7,3,315,328,22,28,,,1,1,,,1121,1299,2420
2025-02-20,13:00:00,12,9,12,6,23,25,34,31,11,8,9,8,73,96,607,683,48,43,6,10,300,284,24,14,,,1,2,,,1160,1219,2379
