Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2022-01-13,00:00:00,3,6,8,13,,,,,,2,2,3,,2,2,6,2,6,,1,3,1,3,8,,,,,,,23,48,71
2022-01-13,01:00:00,,1,7,13,,,,,,4,,4,2,1,2,3,3,7,,1,1,,2,7,,,,,,,17,41,58
2022-01-13,02:00:00,,9,4,7,1,1,,,1,5,1,3,2,1,,,5,8,,,,2,1,5,,,,,,,15,41,56
2022-01-13,03:00:00,1,7,7,15,1,4,,,,3,,4,1,1,5,4,18,6,,,5,6,5,2,,,,,,,43,52,95
2022-01-13,04:00:00,4,10,17,46,3,,,,10,9,7,2,2,,24,29,16,9,,,8,6,13,2,,,,,,,104,113,217
2022-01-13,05:00:00,8,11,30,57,1,1,1,,18,21,8,9,2,1,88,42,28,10,2,4,23,17,26,10,,,,,,,235,183,418
2022-01-13,06:00:00,40,14,30,57,2,1,8,19,22,12,28,20,28,16,217,133,17,26,13,13,106,117,35,30,,,,,,,546,458,1004
2022-01-13,07:00:00,53,12,34,63,5,5,8,12,34,31,52,23,48,29,357,297,28,26,32,29,199,212,27,33,,,,,,,877,772,1649
2022-01-13,08:00:00,30,19,49,77,5,8,11,4,42,36,40,28,72,53,495,464,42,38,31,37,271,283,41,60,,,,,,,1129,1107,2236
2022-01-13,09:00:00,25,11,32,45,9,7,10,,44,39,37,32,98,36,871,627,42,50,33,34,373,370,42,81,,1,,,,,1616,1333,2949
2022-01-13,10:00:00,24,5,30,71,4,8,5,4,27,37,37,25,76,58,908,790,40,54,27,36,410,415,40,84,,,,,,1,1628,1588,3216
2022-01-13,11:00:00,32,7,55,79,5,12,9,,35,30,43,32,117,58,901,829,62,55,36,37,413,433,45,97,,,1,,,,1754,1669,3423
2022-01-13,12:00:00,12,13,60,59,4,3,1,1,35,34,33,28,98,74,908,811,45,38,26,30,454,396,49,40,,1,1,,,,1726,1528,3254
2022-01-13,13:00:00,10,7,69,60,1,5,,2,36,51,30,29,95,73,861,918,56,47,28,22,431,435,47,73,,1,,,,,1664,1723,3387
