Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2022-01-21,00:00:00,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,3,4
2022-01-21,01:00:00,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6
2022-01-21,02:00:00,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,0,4
2022-01-21,03:00:00,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1
2022-01-21,04:00:00,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
2022-01-21,05:00:00,,,5,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,7,1,8
2022-01-21,06:00:00,,,3,1,,,,,,,1,,,,2,,1,,1,,,,,,,,,,,,8,1,9
2022-01-21,07:00:00,,,1,1,,,,,,,,,,,3,5,2,3,2,5,,,3,6,,,,,,,11,20,31
2022-01-21,08:00:00,,,8,6,,,,,,,,,1,1,7,5,6,1,5,,1,3,3,2,,,,,,,31,18,49
2022-01-21,09:00:00,2,,6,6,,,,1,,,,,,2,6,12,3,2,,1,1,2,4,18,,,,,,,22,44,66
2022-01-21,10:00:00,,,9,7,,,1,1,,,,4,,1,10,18,3,,1,7,1,1,2,45,,,,,,,27,84,111
2022-01-21,11:00:00,,,7,7,,,,,,,,,1,,14,29,2,5,5,,1,5,5,15,,,,,,,35,61,96
2022-01-21,12:00:00,,,7,9,,,,,,,1,,2,,12,15,3,2,4,2,3,2,18,8,,,,,,,50,38,88
2022-01-21,13:00:00,,,5,4,,,,,,,,,,1,21,13,3,2,2,7,4,8,30,8,,,,,,,65,43,108
2022-01-21,14:00:00,,,1,5,,1,,,,,,,,1,21,16,2,2,2,2,2,1,19,2,,,,,,,47,30,77
2022-01-21,15:00:00,,,,,,,1,,,,1,,2,,20,17,2,1,,2,4,2,17,6,,,,,,,47,28,75
2022-01-21,16:00:00,,,,1,,,,,,,1,,,1,18,5,,3,2,1,5,4,18,3,,,,,,,44,18,62
2022-01-21,17:00:00,,,,,1,,,,,,1,,,1,23,18,4,8,,4,4,1,3,3,,,,,,,36,35,71
