Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2022-01-18,00:00:00,9,9,1,,,,,,,,2,,3,2,5,3,4,3,1,1,,2,10,1,,,,,,,35,21,56
2022-01-18,01:00:00,4,3,3,5,,,,,,,3,,2,,1,5,1,,,,,1,5,3,,,,,,,19,17,36
2022-01-18,02:00:00,6,1,1,6,,,,,,,3,1,,2,2,,1,2,,,1,1,2,2,,,,,,,16,15,31
2022-01-18,03:00:00,8,5,2,5,,,,,3,,1,,1,3,4,1,3,4,,,2,2,7,11,,,,,,,31,31,62
2022-01-18,04:00:00,9,1,8,7,,,6,1,3,7,3,4,5,7,13,15,4,1,2,,3,1,6,9,,,,,,,62,53,115
2022-01-18,05:00:00,21,1,4,19,,,8,3,8,17,1,8,15,14,48,28,4,1,1,,9,6,24,28,,,,,,,143,125,268
2022-01-18,06:00:00,21,8,10,31,,,13,,20,28,6,21,21,17,118,85,9,10,1,2,33,26,19,15,,,,,,,271,243,514
2022-01-18,07:00:00,21,11,37,29,,,6,,34,39,9,23,28,24,232,186,21,21,10,17,110,77,39,24,,,,,,,547,451,998
2022-01-18,08:00:00,17,2,40,26,,,3,,41,51,10,16,25,50,401,344,43,29,14,21,170,142,33,44,,,,,,,797,725,1522
2022-01-18,09:00:00,25,9,26,15,,,3,,36,38,24,9,49,59,640,521,29,42,13,15,232,219,62,41,,,,,,,1139,968,2107
2022-01-18,10:00:00,22,12,46,43,,,,,32,41,11,13,49,72,666,651,45,48,18,20,267,269,65,55,,,,,,,1221,1224,2445
2022-01-18,11:00:00,19,14,34,47,,,,,32,30,10,24,63,61,698,730,34,29,18,17,289,265,52,57,,,,,,,1249,1274,2523
2022-01-18,12:00:00,12,18,49,43,,1,,,34,37,25,16,58,81,813,806,46,46,20,20,301,279,63,64,,,,,,,1421,1411,2832
2022-01-18,13:00:00,7,17,41,31,1,,,,31,33,14,12,67,70,835,797,31,38,17,14,264,296,75,57,,,,,,,1383,1365,2748
2022-01-18,14:00:00,11,19,31,29,,,,,40,38,17,12,58,70,800,754,38,43,23,25,268,278,68,64,,,,,,,1354,1332,2686
