Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2013-01-22,00:00:00,3,,3,1,,,,7,1,,,1,3,3,,2,2,2,1,,,,3,3,,,,,,,16,19,35
2013-01-22,01:00:00,1,1,4,3,1,1,2,4,,1,1,,,3,1,1,1,3,,,,,2,1,,,,,,,13,18,31
2013-01-22,02:00:00,1,3,4,2,,2,4,2,2,2,,,2,2,,2,2,1,,,,,4,3,,,,,,,19,19,38
2013-01-22,03:00:00,3,2,2,3,2,1,9,4,,3,,1,1,1,3,3,1,1,2,1,,,2,2,,,1,,,,26,22,48
2013-01-22,04:00:00,7,7,7,13,,3,15,1,2,2,2,1,1,1,8,6,3,2,1,3,1,3,1,1,,,2,2,,,50,45,95
2013-01-22,05:00:00,4,14,12,7,2,2,13,3,7,13,4,3,3,3,18,18,2,4,3,6,3,6,3,4,,,8,6,,,82,89,171
2013-01-22,06:00:00,7,1,10,2,1,2,11,4,2,6,2,3,3,8,37,51,7,3,7,3,12,7,,7,,,10,7,,,109,104,213
2013-01-22,07:00:00,16,6,18,10,7,1,10,7,9,14,4,7,11,14,136,68,23,2,23,6,19,11,5,12,,,20,22,,,301,180,481
2013-01-22,08:00:00,11,6,12,13,1,1,8,4,23,19,10,6,12,17,180,100,22,2,22,14,20,23,8,10,,2,28,21,,1,357,239,596
2013-01-22,09:00:00,10,4,8,11,1,4,6,5,20,25,10,10,14,9,275,182,21,7,21,25,22,25,6,16,,2,31,29,,1,445,355,800
2013-01-22,10:00:00,4,1,12,12,5,4,10,3,19,13,5,12,15,25,305,210,20,4,20,27,26,25,10,13,,,72,40,,,523,389,912
2013-01-22,11:00:00,11,6,14,15,4,7,4,7,11,17,5,9,17,21,355,210,16,6,16,18,23,23,16,11,,2,31,37,,,523,389,912
2013-01-22,12:00:00,3,4,16,11,3,3,5,4,15,17,8,7,19,33,225,290,9,10,17,25,25,24,11,15,1,,28,48,,,385,491,876
2013-01-22,13:00:00,3,2,15,9,,2,2,6,13,12,12,8,25,27,215,205,3,7,15,18,21,28,16,13,,1,40,45,,,380,383,763
