Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2023-05-14,00:00:00,,1,,,1,,,,,,,,3,,2,1,2,,,,,1,1,3,,,,,,,9,6,15
2023-05-14,01:00:00,,,1,1,1,,,,,1,,,,,,2,,,,,2,,,,,,,,,,4,4,8
2023-05-14,02:00:00,,,2,1,,,,,,,,,,1,,1,1,1,,,2,,,3,,,,,,,5,7,12
2023-05-14,03:00:00,,,,6,2,,,,,,,1,2,,1,5,1,1,,,1,4,1,1,,,,,,,8,18,26
2023-05-14,04:00:00,,,5,5,2,1,,,,1,,1,3,4,20,18,8,5,,2,6,22,3,8,,,,,,,47,67,114
2023-05-14,05:00:00,2,3,9,5,5,2,,,1,6,4,,9,12,45,44,6,10,4,3,48,27,27,11,,,,,,,160,123,283
2023-05-14,06:00:00,,1,19,5,7,3,,1,8,7,2,,22,9,174,104,11,11,3,6,46,32,18,30,,,,1,,,310,210,520
2023-05-14,07:00:00,2,,4,3,10,5,,,5,3,2,1,47,36,198,168,8,5,2,1,77,62,20,30,,,,,,,375,314,689
2023-05-14,08:00:00,,1,14,8,5,6,,,3,7,2,1,32,34,227,213,23,10,7,7,79,75,24,30,,,,,,,416,392,808
2023-05-14,09:00:00,,,12,8,9,5,,,5,3,1,1,48,38,371,227,9,9,6,9,78,75,26,35,,,,,,,565,410,975
2023-05-14,10:00:00,1,2,11,2,8,7,,1,5,2,1,1,57,31,328,210,15,18,6,4,104,88,30,26,,,,,,,566,392,958
2023-05-14,11:00:00,,,6,3,8,10,1,,1,6,,1,44,49,288,302,21,22,9,8,83,90,42,37,,,,,,,503,528,1031
2023-05-14,12:00:00,2,2,8,7,5,14,,,8,5,,,57,52,225,220,9,10,7,4,91,73,31,28,,,,,,,443,415,858
2023-05-14,13:00:00,2,2,5,12,12,5,,2,5,,,1,42,43,200,233,17,15,5,8,78,87,41,27,,,,,,,407,435,842
2023-05-14,14:00:00,,3,8,16,11,6,1,,2,5,,,54,51,216,280,17,15,4,6,102,107,64,40,,,,,,,479,529,1008
2023-05-14,15:00:00,2,1,15,20,13,8,3,,6,5,1,,42,46,261,261,8,19,10,7,113,110,46,34,,,,,,,520,511,1031
