Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2016-03-29,00:00:00,,,,5,,,,,,,,2,,,,3,,2,,,,,,1,,,,,,,0,13,13
2016-03-29,01:00:00,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,0,4,4
2016-03-29,02:00:00,,,,2,,,,,,,,,,,,,,1,,,,,,2,,,,,,,0,5,5
2016-03-29,03:00:00,,,,11,,,,,,,,,,2,,2,,3,,,,,,2,,,,,,,0,20,20
2016-03-29,04:00:00,,,,7,,3,,,,,,,,4,,4,,3,,,,2,,,,,,,,,0,23,23
2016-03-29,05:00:00,,,,8,,2,,3,,12,,,,2,,22,,9,,2,,4,,,,,,5,,,0,69,69
2016-03-29,06:00:00,,,,18,,7,,17,,7,,5,,10,,59,,8,,9,,,,11,,,,8,,,0,159,159
2016-03-29,07:00:00,,,,18,,4,,20,,23,,7,,8,,90,,,,7,,,,8,,,,7,,,0,192,192
2016-03-29,08:00:00,,,,15,,3,,21,,23,,16,,12,,141,,13,,10,,,,15,,,,23,,2,0,294,294
2016-03-29,09:00:00,,,,14,,7,,7,,24,,9,,18,,149,,7,,11,,,,10,,,,6,,,0,262,262
2016-03-29,10:00:00,,4,,19,,4,,5,,33,,14,,19,,253,,16,,21,,,,17,,,,28,,,0,433,433
2016-03-29,11:00:00,,,,15,,11,,10,,27,,11,,13,,212,,16,,16,,,,12,,,,9,,2,0,354,354
2016-03-29,12:00:00,,,,11,,7,,13,,21,,7,,24,,247,,18,,14,,,,13,,1,,14,,3,0,393,393
2016-03-29,13:00:00,,,,10,,9,,15,,21,,19,,16,,158,,20,,16,,,,9,,2,,17,,,0,312,312
2016-03-29,14:00:00,,1,,12,,7,,6,,33,,18,,28,,192,,20,,12,,,,14,,,,16,,,0,359,359
2016-03-29,15:00:00,1,,,9,,7,,7,,18,,4,,20,,190,,11,,10,,,,15,,,,22,,,1,313,314
2016-03-29,16:00:00,2,1,,9,,8,,13,,17,,17,,16,,170,,21,,13,,,,11,,,,12,,12,2,320,322
2016-03-29,17:00:00,4,4,,18,,6,,11,,12,,14,,14,,230,,27,,12,,,,16,,,,7,,,4,371,375
