Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2017-02-17,00:00:00,1,1,,,,1,,,,,,,2,1,6,5,,2,,1,,,1,,,,,,,,10,11,21
2017-02-17,01:00:00,2,1,1,1,,,,,,,,,2,,2,6,,,,,,,,,,,,,,,7,8,15
2017-02-17,02:00:00,1,1,,,,,,,,,,,2,,4,2,,,,,,,2,,,,,,,,9,3,12
2017-02-17,03:00:00,,,,,,1,,,,,,,1,,7,10,1,,1,2,,,3,1,,,,,,,13,14,27
2017-02-17,04:00:00,,,3,,,,,,1,,2,,,,7,6,2,1,,,2,1,,,,,,,,,17,8,25
2017-02-17,05:00:00,3,,,,1,1,,,,1,1,3,4,7,15,23,,2,,6,,5,2,2,,,,,,,26,50,76
2017-02-17,06:00:00,1,,2,,,,3,9,2,7,2,8,3,6,80,83,5,7,2,10,21,20,3,5,,,,,,,124,155,279
2017-02-17,07:00:00,5,1,2,,1,,2,4,8,7,16,3,6,12,113,107,8,8,2,12,47,46,4,3,,,,,,,214,203,417
2017-02-17,08:00:00,1,1,4,1,1,2,18,4,4,13,8,3,19,19,173,152,2,7,2,6,87,95,6,8,,,,,1,,326,311,637
2017-02-17,09:00:00,1,3,1,1,,1,13,6,4,14,15,6,17,23,230,220,14,11,6,8,102,88,8,10,,,,,,,411,391,802
2017-02-17,10:00:00,,1,1,1,1,3,8,3,10,8,12,9,21,21,232,128,17,15,5,14,95,93,13,19,,,,,,,415,315,730
2017-02-17,11:00:00,,1,2,,1,,11,5,6,7,14,6,21,23,251,101,19,11,7,5,124,72,8,7,,,,,,1,464,239,703
2017-02-17,12:00:00,1,1,1,1,1,3,9,4,1,5,12,6,18,21,162,133,15,12,18,4,97,88,11,10,,,,,,,346,288,634
2017-02-17,13:00:00,,,2,,3,1,4,3,5,12,5,4,26,27,181,157,14,16,2,11,126,80,8,13,,,,,,,376,324,700
2017-02-17,14:00:00,,,4,,3,1,6,3,6,6,5,10,20,47,162,150,14,15,7,4,120,93,6,19,,,,,,,353,348,701
2017-02-17,15:00:00,,1,3,1,1,1,3,10,18,13,2,7,21,37,191,130,17,11,14,7,126,80,6,7,1,,,,,1,403,306,709
