Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2016-03-26,00:00:00,,3,3,6,5,4,,,,,,,4,3,1,7,2,4,,,,,2,,,,,,,,17,27,44
2016-03-26,01:00:00,3,3,2,8,4,5,,,,,,,1,,3,6,,5,,,,,2,4,,,,,,,15,31,46
2016-03-26,02:00:00,3,4,6,5,7,3,,2,,,,,2,4,1,8,2,5,,,,,1,3,,,,,,,22,34,56
2016-03-26,03:00:00,6,7,14,7,14,4,,13,,7,,5,11,4,15,15,8,7,6,3,2,,8,8,,,,,2,,86,80,166
2016-03-26,04:00:00,11,9,15,14,26,17,6,22,3,11,6,8,9,14,17,40,13,14,10,8,8,6,11,14,1,,5,9,8,6,149,192,341
2016-03-26,05:00:00,,,3,3,16,15,11,18,5,3,11,4,12,6,30,23,11,14,1,8,8,3,12,12,,,,,,10,120,119,239
2016-03-26,06:00:00,7,,15,29,33,25,47,36,33,12,14,3,33,34,77,110,28,4,14,24,23,52,24,19,8,10,15,12,11,7,382,377,759
2016-03-26,07:00:00,1,,14,28,26,17,33,45,25,8,25,4,36,25,90,178,25,6,18,25,20,33,23,27,3,6,5,8,9,5,353,415,768
2016-03-26,08:00:00,3,,13,29,39,35,17,30,22,8,14,4,26,31,91,152,31,4,14,14,25,19,20,25,,4,,14,11,8,326,377,703
2016-03-26,09:00:00,2,,8,24,18,39,11,33,14,7,7,6,14,42,101,150,23,5,17,23,22,24,17,21,3,4,4,15,1,5,262,398,660
2016-03-26,10:00:00,,,25,25,35,42,24,37,22,25,25,17,40,39,70,143,6,4,27,30,26,29,20,25,13,7,17,29,15,17,365,469,834
2016-03-26,11:00:00,5,1,17,35,32,32,20,27,35,20,20,15,31,42,60,135,13,4,16,21,23,40,9,32,10,8,9,35,13,14,313,461,774
2016-03-26,12:00:00,,,5,13,22,16,15,13,23,4,16,3,19,22,58,137,6,6,14,4,15,5,17,8,4,1,7,6,13,,234,238,472
2016-03-26,13:00:00,,,15,18,21,10,11,21,13,7,12,7,10,18,70,125,11,2,17,15,23,20,17,10,12,3,9,6,8,3,249,265,514
