Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2016-03-26,00:00:00,,,,4,,,,,,,,5,1,4,2,5,14,8,,,,,3,1,,,,,,,20,27,47
2016-03-26,01:00:00,,,,2,,,,,,,,2,,1,3,1,16,8,,,,,,,,,,,,,19,14,33
2016-03-26,02:00:00,,,,2,,,,,,,,3,,2,1,1,7,2,,,,,4,,,,,,,,12,10,22
2016-03-26,03:00:00,,,1,1,,,1,,1,,2,2,3,3,8,5,11,15,,,,,1,,,,,,,,28,26,54
2016-03-26,04:00:00,,,3,3,1,1,3,6,4,,3,1,4,,17,13,4,14,1,1,,,1,2,,,,,,,41,41,82
2016-03-26,05:00:00,,,5,2,3,3,4,5,15,6,4,3,1,3,49,32,4,3,3,11,,,7,,,,9,7,2,,106,75,181
2016-03-26,06:00:00,,,7,5,10,2,14,15,18,14,13,15,5,11,115,98,7,9,4,4,1,,7,10,,,10,12,2,,213,195,408
2016-03-26,07:00:00,,,8,11,6,5,9,4,17,17,12,14,17,13,153,143,22,8,7,8,1,,7,11,,,9,20,2,1,270,255,525
2016-03-26,08:00:00,,,7,12,5,14,5,4,11,19,12,15,9,18,173,153,13,12,7,5,2,,6,10,,,12,35,11,,273,297,570
2016-03-26,09:00:00,,,11,17,10,8,3,7,25,21,7,17,19,23,194,245,4,14,15,10,1,,27,19,,,27,39,8,1,351,421,772
2016-03-26,10:00:00,,,15,17,19,9,6,2,36,22,38,28,41,29,191,221,8,13,19,16,17,,38,20,,,27,36,18,2,473,415,888
2016-03-26,11:00:00,,,20,14,14,6,2,6,24,24,17,38,43,24,283,216,18,7,11,9,1,,16,11,,,20,18,3,3,472,376,848
2016-03-26,12:00:00,,,11,8,7,10,6,5,21,28,17,20,29,31,300,307,17,3,10,15,3,,18,10,,,24,27,3,12,466,476,942
2016-03-26,13:00:00,,,16,8,8,6,9,14,14,19,22,16,35,31,303,223,23,13,18,11,1,,13,18,,,27,15,3,,492,374,866
2016-03-26,14:00:00,,,11,6,9,9,9,,17,23,18,33,34,26,290,223,15,11,12,6,,,3,14,,,27,23,,18,445,392,837
