Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2023-05-14,00:00:00,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,11,3,14
2023-05-14,01:00:00,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,,,,3,2,5
2023-05-14,02:00:00,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,2
2023-05-14,03:00:00,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,5,0,5
2023-05-14,04:00:00,,,,,,,,1,,,,,3,,13,10,,1,,,1,,,,,,,,,,17,12,29
2023-05-14,05:00:00,2,,,2,,,3,1,2,,,,6,3,16,15,,,,1,11,12,,,,,,,,,40,34,74
2023-05-14,06:00:00,,1,4,2,,,9,5,2,3,,2,9,4,158,103,1,1,5,3,44,25,1,,,,,,,,233,149,382
2023-05-14,07:00:00,,,1,1,,,10,5,2,,8,8,25,21,242,182,4,4,,1,74,64,1,2,,,,,,,367,288,655
2023-05-14,08:00:00,,,2,,,,7,3,2,5,9,5,31,18,280,173,2,2,,1,79,47,2,2,,,,,,,414,256,670
2023-05-14,09:00:00,1,,2,1,,1,11,10,2,4,8,9,47,22,392,295,3,5,8,4,108,91,1,1,,,,,,,583,443,1026
2023-05-14,10:00:00,,,1,5,1,,8,7,4,8,6,9,25,25,366,370,5,5,4,1,119,125,2,7,,,,,,,541,562,1103
2023-05-14,11:00:00,2,1,3,2,,,10,5,2,6,5,8,43,44,379,340,8,3,3,3,112,81,2,1,,,,,,,569,494,1063
2023-05-14,12:00:00,,26,4,,,1,7,2,4,6,11,8,28,25,300,296,1,3,6,6,91,93,5,3,,,,,,,457,469,926
2023-05-14,13:00:00,,19,3,1,,4,3,3,3,4,5,8,37,23,270,385,4,5,,4,85,91,2,4,,,,,,,412,551,963
2023-05-14,14:00:00,1,14,1,1,1,5,6,4,3,3,3,4,33,32,355,256,8,8,4,4,100,83,2,,1,,,,,,518,414,932
2023-05-14,15:00:00,,28,5,,,3,9,7,2,4,6,7,35,42,311,262,2,5,,2,64,72,3,3,,,,,,,437,435,872
