Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2022-01-19,00:00:00,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,3,1,4
2022-01-19,01:00:00,,,,,,,,,,,,,1,,1,4,,,,,,,,,,,,,,,2,4,6
2022-01-19,02:00:00,,,,1,,,,,,,,,1,,,2,,,,,,,,2,,,,,,,1,5,6
2022-01-19,03:00:00,3,,2,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,7,3,10
2022-01-19,04:00:00,,,,1,,,,,,,1,,4,,1,11,,,1,,1,,1,,,,,,,,9,12,21
2022-01-19,05:00:00,,1,,2,,,,,,1,,,3,2,11,39,,1,2,,10,,,1,,,,,,,26,47,73
2022-01-19,06:00:00,1,1,6,4,,,,,1,2,,1,4,3,44,56,3,6,2,6,16,24,,4,,,,,,,77,107,184
2022-01-19,07:00:00,5,1,3,4,1,,,2,4,6,2,8,13,8,106,133,21,18,5,8,41,45,2,2,,,,,,,203,235,438
2022-01-19,08:00:00,3,1,6,7,,,,1,6,5,8,8,23,15,171,252,27,18,6,9,87,101,6,10,,,,,,,343,427,770
2022-01-19,09:00:00,1,1,3,3,,,,,10,8,5,8,17,18,268,445,22,37,3,9,100,130,5,5,,,,,,,434,664,1098
2022-01-19,10:00:00,1,4,7,8,,,2,,7,8,8,10,25,29,369,395,28,20,7,10,115,128,6,11,,,,,,,575,623,1198
2022-01-19,11:00:00,3,3,,4,,,,4,6,4,11,15,27,22,426,396,15,23,10,23,153,140,12,15,,,,,,,663,649,1312
2022-01-19,12:00:00,1,6,10,7,1,,,7,6,2,9,11,23,24,361,454,47,24,5,8,109,134,9,15,,,2,,,,583,692,1275
2022-01-19,13:00:00,,1,5,8,,,,2,4,4,11,11,27,24,349,419,28,19,10,10,126,128,8,8,,,,,,,568,634,1202
2022-01-19,14:00:00,1,3,7,9,42,1,,5,7,4,6,7,20,14,297,398,30,23,8,5,109,111,5,12,,,,,,,532,592,1124
2022-01-19,15:00:00,1,3,3,4,1,2,,2,9,5,13,8,10,22,387,388,19,32,2,4,120,117,15,16,,,,,,,580,603,1183
