Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2025-02-24,00:00:00,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,2,2,4
2025-02-24,01:00:00,,,,,,,,,,,,,,,,,1,1,,,,,1,2,,,,,,,2,3,5
2025-02-24,02:00:00,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,2,0,2
2025-02-24,03:00:00,,,,,,,,,,,2,,1,,,1,3,1,,,,,1,3,,,,,,,7,5,12
2025-02-24,04:00:00,,,4,1,,,,1,,,1,1,,,2,,,,,,,1,1,1,,,,,,,8,5,13
2025-02-24,05:00:00,1,,5,1,,,,,,,,,,,2,1,12,3,,,,,,4,,,,,,,20,9,29
2025-02-24,06:00:00,2,1,6,6,,,,,,,3,1,4,,5,5,5,1,,,,,2,4,,,,,,,27,18,45
2025-02-24,07:00:00,,1,,2,2,,,1,,,4,,,1,11,7,4,1,1,,,1,5,10,,,,,,,27,24,51
2025-02-24,08:00:00,2,,3,1,,,,,1,1,4,2,2,5,15,21,8,5,,1,1,1,7,22,,,,,,,43,59,102
2025-02-24,09:00:00,1,,3,1,,,,,1,,3,8,4,5,24,30,7,4,,,1,5,11,32,,,,,,,55,85,140
2025-02-24,10:00:00,,,3,2,,1,,1,,,4,2,3,8,21,51,5,5,,,1,3,7,24,,,,,,,44,97,141
2025-02-24,11:00:00,,1,2,1,,,,,,,3,4,2,2,30,29,3,6,,1,,1,15,22,,,,,,,55,67,122
2025-02-24,12:00:00,,,2,3,,,,,,,3,3,3,4,29,31,4,11,,2,1,2,22,10,,,,,,,64,66,130
2025-02-24,13:00:00,,1,1,,,,,,,,2,6,3,2,29,29,3,6,,1,1,,28,9,,,,,,,67,54,121
2025-02-24,14:00:00,,,,2,,,2,,,,3,2,11,3,44,24,7,6,,,1,1,24,7,,,,,,,92,45,137
2025-02-24,15:00:00,2,1,4,3,,,,,1,2,5,6,8,,41,25,8,9,1,,1,1,11,10,,,,,,,82,57,139
2025-02-24,16:00:00,,,1,6,,,,,,,2,,5,3,37,27,5,8,,1,1,,11,8,,,,,,,62,53,115
