Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2017-02-22,00:00:00,,,1,,3,,,,,,,,2,1,,2,2,,,,,,1,,,,,,,,9,3,12
2017-02-22,01:00:00,,,3,,,1,,,,,,,,2,,3,,,,,,,,,,,,,,,3,6,9
2017-02-22,02:00:00,,,,2,2,2,,,,,,,1,,3,3,1,,,,,1,2,3,,,,,,,9,11,20
2017-02-22,03:00:00,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,0,3,3
2017-02-22,04:00:00,,,,,,,,,,,,,,1,6,6,2,2,,1,,,,2,,,,,,,8,12,20
2017-02-22,05:00:00,,,3,,2,,,,2,1,,,3,3,32,17,4,6,,3,,3,3,3,,,,,,,49,36,85
2017-02-22,06:00:00,2,,,3,3,4,,,2,2,,,7,8,42,53,12,8,4,11,7,4,3,4,,,,,,,82,97,179
2017-02-22,07:00:00,,,1,2,3,4,,,2,2,,,13,12,88,74,2,4,9,8,4,8,2,9,,2,,,,,124,125,249
2017-02-22,08:00:00,,,2,,4,8,,,1,3,,,9,9,68,83,4,7,7,9,9,15,4,2,,,,,,,108,136,244
2017-02-22,09:00:00,,,,,2,6,,,3,1,,,4,4,105,100,8,3,11,13,3,11,3,4,,,,,,,139,142,281
2017-02-22,10:00:00,,,3,,1,2,,,2,3,,,12,21,74,60,9,2,9,18,12,7,8,4,,1,,,,,130,118,248
2017-02-22,11:00:00,,,1,4,6,3,,,3,3,,,9,12,68,54,,9,,11,,10,,2,,2,,,,,87,110,197
2017-02-22,12:00:00,,,1,2,3,7,,,2,2,,,2,7,53,89,6,4,12,8,3,4,4,6,,,,,,,86,129,215
2017-02-22,13:00:00,,,,,7,12,,,2,3,,,4,9,57,84,3,6,6,7,8,3,3,3,,,,,,,90,127,217
2017-02-22,14:00:00,,,3,,2,4,,,3,2,,,7,,63,95,8,5,12,4,4,6,2,2,,,,,,,104,118,222
2017-02-22,15:00:00,,,2,2,5,2,,,2,1,,,6,,70,63,4,3,7,5,11,6,7,1,,,,,,,114,83,197
2017-02-22,16:00:00,,,7,,4,6,2,,3,3,,,12,,74,53,9,2,8,4,6,8,2,6,,,,,,,127,82,209
