Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2025-02-24,00:00:00,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,0,2,2
2025-02-24,01:00:00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,1,1
2025-02-24,02:00:00,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,2,3
2025-02-24,03:00:00,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,0,4,4
2025-02-24,04:00:00,,,,,,,,,,,,,,1,1,,,6,,,,,,,,,,,,,1,7,8
2025-02-24,05:00:00,,,1,3,,,,,,,,,1,,2,2,1,3,,,2,,,1,,,,,,,7,9,16
2025-02-24,06:00:00,,,,1,,,,,,,1,2,7,9,8,17,3,3,,,2,3,1,6,,,,,,,22,41,63
2025-02-24,07:00:00,,,,2,1,,,,,,,1,7,7,27,35,5,5,,1,11,18,3,6,,,,,,,54,75,129
2025-02-24,08:00:00,,,3,2,,1,,,2,,1,,5,11,52,50,15,6,1,,20,23,1,9,,,,,,,100,102,202
2025-02-24,09:00:00,,,2,3,,,,1,3,5,,,13,14,60,107,11,16,2,,19,23,6,19,,,,,,,116,188,304
2025-02-24,10:00:00,,,1,1,,,2,,,1,2,2,17,18,57,70,10,22,1,,37,34,10,13,,,,,,,137,161,298
2025-02-24,11:00:00,,,1,,1,1,1,,,,,2,15,19,60,81,14,7,,1,39,43,14,11,,,,,,,145,165,310
2025-02-24,12:00:00,,,4,6,1,,,,,1,2,1,17,12,75,73,8,9,1,1,23,27,2,8,,,,,,,133,138,271
2025-02-24,13:00:00,,,2,5,,,,1,,,,3,15,15,77,32,16,10,2,1,35,32,2,6,,,,,,,149,105,254
2025-02-24,14:00:00,,,4,4,,,,,,1,,,15,20,68,63,16,15,2,2,28,25,15,6,,,,,,,148,136,284
2025-02-24,15:00:00,,,4,4,,,,,4,2,1,,13,13,58,65,16,10,2,4,22,24,7,4,,,,,,,127,126,253
2025-02-24,16:00:00,,,5,3,,,,,2,2,1,1,16,16,87,74,14,8,2,1,25,25,11,2,,,,,,,163,132,295
