Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2014-11-19,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2014-11-19,01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2014-11-19,02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2014-11-19,03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2014-11-19,04:00:00,,,,,,4,,,,4,,,,6,,5,,,,3,,,,7,,,,,,,0,29,29
2014-11-19,05:00:00,,,,1,,8,,,,3,,,,3,,23,,,,,,,,,,,,,,,0,38,38
2014-11-19,06:00:00,,,1,6,,,2,,1,,3,1,4,5,33,33,2,7,,,,,6,4,,,2,4,,,54,60,114
2014-11-19,07:00:00,,,7,2,1,,2,1,5,2,7,4,15,14,118,106,18,14,5,1,,,12,7,,,18,21,,,208,172,380
2014-11-19,08:00:00,,,3,8,,,7,1,1,4,7,4,14,16,139,146,9,23,2,7,,,14,5,,,21,29,,,217,243,460
2014-11-19,09:00:00,4,,4,7,,,4,,,1,5,4,30,25,193,226,15,30,6,3,,,7,24,,,35,33,,,303,353,656
2014-11-19,10:00:00,1,3,2,5,,,8,2,,2,6,8,21,15,146,185,10,15,4,3,,,7,24,,,26,22,,,231,284,515
2014-11-19,11:00:00,,,5,5,5,,4,3,4,4,15,16,24,21,157,195,27,18,2,7,1,,4,18,1,,15,21,,,264,308,572
2014-11-19,12:00:00,,,6,8,,1,,3,1,,6,4,25,16,159,213,12,12,2,3,,,11,26,,,32,35,,,254,321,575
2014-11-19,13:00:00,2,1,5,7,3,3,4,5,3,1,7,5,18,14,165,172,11,4,5,4,,,12,32,1,,16,30,,,252,278,530
2014-11-19,14:00:00,,,9,2,3,5,1,7,,1,10,10,25,12,190,165,23,10,,5,,,10,61,,,23,31,,,294,309,603
2014-11-19,15:00:00,2,1,8,7,1,2,3,9,,,14,10,28,16,212,152,16,8,3,4,,,6,34,,1,18,32,,,311,276,587
2014-11-19,16:00:00,3,1,4,5,8,1,4,7,,,11,6,18,18,172,152,11,10,5,5,,,10,21,,,15,15,,,261,241,502
