Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2017-02-21,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2017-02-21,01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2017-02-21,02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2017-02-21,03:00:00,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1
2017-02-21,04:00:00,,,4,3,2,1,,,,,,,,,1,,1,1,,,,,1,1,,,,,,,9,6,15
2017-02-21,05:00:00,,,,,3,,1,,1,,,,,,4,4,2,,1,,,,,,,,,,,,12,4,16
2017-02-21,06:00:00,,,,1,,,,,,1,,,1,,6,11,1,,1,1,,,2,6,,,,,,,11,20,31
2017-02-21,07:00:00,,,,1,,,,,,4,,,1,1,7,3,,1,,1,,,6,3,,,,,,,14,14,28
2017-02-21,08:00:00,,,,3,,1,,,1,2,,,,,8,6,,1,2,1,,,1,8,,,,,,,12,22,34
2017-02-21,09:00:00,2,,1,5,,1,,,,3,,1,3,,62,12,1,2,6,1,,,11,26,,,,,,,86,51,137
2017-02-21,10:00:00,,1,,,,,,,1,,,,8,1,100,22,2,1,,2,,,7,14,,,,,,,118,41,159
2017-02-21,11:00:00,,,,,1,1,,1,1,,,,2,12,11,152,1,2,3,1,,,10,11,,,,,,,29,180,209
2017-02-21,12:00:00,,,,,,,1,,2,,,,1,3,11,27,1,1,1,2,,,10,6,,,,,,,27,39,66
2017-02-21,13:00:00,,,,4,,,1,,1,,,,1,1,8,15,3,,1,5,,,10,4,,,,,,,25,29,54
2017-02-21,14:00:00,,,,2,,,,,1,,,,1,2,6,4,,,,,,,18,5,,,,,,,26,13,39
2017-02-21,15:00:00,,,,1,,,,,2,,,,,,12,12,,1,1,4,,,8,1,,,,,,,23,19,42
2017-02-21,16:00:00,,,1,,,2,,,,,,,,2,8,8,,1,,1,,,4,4,,,,,,,13,18,31
2017-02-21,17:00:00,,,,2,1,3,,,,,,,,,6,9,,1,2,1,,,1,4,,,,,,,10,20,30
