Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2023-05-08,00:00:00,,1,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,4,2,6
2023-05-08,01:00:00,1,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,4,2,6
2023-05-08,02:00:00,1,,,,,,,,,,,,,1,3,,,,,,,1,,,,,,,,,4,2,6
2023-05-08,03:00:00,,,,,,,,,,,,,,,6,,,1,,,,,1,,,,,,,,7,1,8
2023-05-08,04:00:00,,,,3,,,,,,,,,,,6,,,,,,,4,,1,,,,,,,6,8,14
2023-05-08,05:00:00,1,,,3,,,,,,,,,3,1,10,,,1,,,1,4,2,4,,,,,,,17,13,30
2023-05-08,06:00:00,,2,,1,3,,,,,,,1,1,2,23,10,,2,,1,4,1,2,1,,,,,,,33,21,54
2023-05-08,07:00:00,,1,,4,1,,,1,1,,,3,3,1,17,14,2,3,,,2,1,5,11,,,,,,,31,39,70
2023-05-08,08:00:00,,,,3,,,,2,2,,,,,,26,33,3,4,1,1,,3,8,12,,,,,,,40,58,98
2023-05-08,09:00:00,,,,5,1,,,,1,,,,10,4,54,52,9,3,,1,2,2,22,14,,,,,,,99,81,180
2023-05-08,10:00:00,,,,1,2,,,1,,,,,8,3,59,30,7,4,1,1,7,2,19,26,,,,,,,103,68,171
2023-05-08,11:00:00,,,,2,5,,,,,,,,9,5,51,40,7,7,3,,4,2,20,17,,,,,,,99,73,172
2023-05-08,12:00:00,,,1,,,,,,,,,1,9,4,53,45,6,5,1,,4,2,26,15,,,,,,,100,72,172
2023-05-08,13:00:00,,,5,,,,,,1,,,,7,2,47,29,6,2,,,1,2,17,18,,,,,,,84,53,137
2023-05-08,14:00:00,,,1,,,,,,1,1,1,,4,9,33,38,6,2,,1,3,3,8,18,,,,,,,57,72,129
2023-05-08,15:00:00,,,3,,,,1,2,,,,,4,6,38,41,3,3,,,5,2,11,9,,,,,,,65,63,128
2023-05-08,16:00:00,,1,4,,,,,2,,,,1,7,7,49,34,3,9,,,4,2,4,8,,,,,,,71,64,135
2023-05-08,17:00:00,,,7,3,,,,,,,,,6,3,33,36,6,6,1,2,1,2,7,5,,,,,,,61,57,118
