Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2025-02-18,00:00:00,2,1,,2,,1,,,,1,,2,6,5,16,11,7,,,,8,3,2,3,,,,,,,41,29,70
2025-02-18,01:00:00,,,1,2,,,,,,2,1,3,1,3,8,13,3,3,,,3,3,1,3,,,,,,,18,32,50
2025-02-18,02:00:00,1,1,2,4,2,1,,,,1,4,,1,1,11,10,10,5,,,4,4,,1,,,,,,,35,28,63
2025-02-18,03:00:00,,1,7,,5,,,,2,1,1,2,3,3,15,9,7,9,,,10,7,2,,,,,,,,52,32,84
2025-02-18,04:00:00,1,2,3,2,3,,2,2,6,6,10,5,7,5,29,9,4,7,,,43,10,9,2,,,,,,,117,50,167
2025-02-18,05:00:00,1,4,8,9,6,1,4,3,17,13,29,15,9,6,80,37,14,8,,,78,47,27,9,,,,,,,273,152,425
2025-02-18,06:00:00,13,3,34,7,5,4,44,20,24,14,24,3,61,18,646,163,20,8,4,1,464,140,45,17,,,,,,,1384,398,1782
2025-02-18,07:00:00,6,4,26,11,3,4,34,27,20,13,13,12,64,45,446,252,30,13,10,7,333,160,24,23,,,,,,,1009,571,1580
2025-02-18,08:00:00,6,6,15,12,4,15,29,31,12,17,10,18,80,58,543,337,14,20,7,11,358,443,23,17,,,2,,,,1103,985,2088
2025-02-18,09:00:00,7,6,15,16,14,8,33,32,8,11,13,7,118,72,795,454,21,27,4,10,391,495,16,18,,,,,,,1435,1156,2591
2025-02-18,10:00:00,19,2,24,5,6,1,27,18,19,28,12,8,126,81,740,493,36,39,8,7,420,415,17,9,,,,,,,1454,1106,2560
2025-02-18,11:00:00,7,10,13,22,17,,17,13,8,31,18,12,100,72,596,546,30,54,14,10,290,445,20,14,,,,,,,1130,1229,2359
2025-02-18,12:00:00,7,2,12,24,4,,27,10,6,28,15,10,120,65,714,523,39,50,14,12,295,454,25,19,,,,,,,1278,1197,2475
2025-02-18,13:00:00,7,3,118,15,17,,32,2,11,25,15,14,94,87,726,537,35,37,7,5,317,471,33,17,,,,,,,1412,1213,2625
2025-02-18,14:00:00,13,6,17,17,11,1,22,,11,38,16,11,105,100,389,547,27,39,6,3,295,447,30,18,,,,,,,942,1227,2169
