Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2025-02-24,00:00:00,,,1,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,14,2,16
2025-02-24,01:00:00,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1,2
2025-02-24,02:00:00,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,3,0,3
2025-02-24,03:00:00,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,0,1
2025-02-24,04:00:00,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,2,1,3
2025-02-24,05:00:00,,,2,,,,,,,,,,,,3,1,2,2,2,,,,,,,,,,,,9,3,12
2025-02-24,06:00:00,,1,,2,,,,,,,,,,,1,6,3,1,,,,,1,1,,,,,,,5,11,16
2025-02-24,07:00:00,1,,,,,,,,,,1,,1,,10,15,3,1,1,,2,1,2,,,,,,,,21,17,38
2025-02-24,08:00:00,,1,3,,,,1,,,,1,1,2,,14,15,1,4,,1,1,5,2,10,,,,,,,25,37,62
2025-02-24,09:00:00,,,2,2,,,,,,,,2,1,1,16,29,5,8,2,1,5,,3,26,,,,,,,34,69,103
2025-02-24,10:00:00,3,1,1,1,,,,1,,,,,2,,17,19,2,8,,,3,1,10,18,,,,,,,38,49,87
2025-02-24,11:00:00,,1,1,1,,,,,,,1,,,2,23,27,1,3,,,2,9,17,5,,,,,,,45,48,93
2025-02-24,12:00:00,1,3,1,1,,,,,,,1,,,,16,16,5,2,1,,1,2,14,2,,,,,,,40,26,66
2025-02-24,13:00:00,,,,,,,,,,,,,,,16,25,4,,1,1,2,1,18,2,,,,,,,41,29,70
2025-02-24,14:00:00,2,,,,,,,,,,1,,,,23,20,5,2,1,1,2,3,13,6,,,,,,,47,32,79
2025-02-24,15:00:00,5,,3,,1,,,,,,3,2,1,1,19,32,5,3,,1,3,1,7,2,,,,,,,47,42,89
2025-02-24,16:00:00,8,,,1,,,,,,,1,1,1,1,24,38,3,4,,,3,2,5,1,,,,,,,45,48,93
2025-02-24,17:00:00,1,,,,,,,,,,2,1,,,24,30,1,4,1,,2,,1,3,,,,,,,32,38,70
