Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2011-11-26,00:00:00,14,8,8,12,3,3,1,2,,4,,,2,8,5,15,1,3,,,,,3,11,,,,,,,37,66,103
2011-11-26,01:00:00,6,7,7,10,4,2,2,3,2,2,,,3,3,9,5,2,2,,,,,2,2,,,,,,,37,36,73
2011-11-26,02:00:00,18,17,15,12,2,1,6,5,,3,2,,1,5,4,10,,1,,,,,7,3,,,,,,,55,57,112
2011-11-26,03:00:00,15,12,17,15,7,2,19,3,5,4,3,,11,4,27,15,4,5,1,1,,,8,5,,,,,,,117,66,183
2011-11-26,04:00:00,12,14,,10,5,3,33,8,15,7,8,5,8,10,40,22,4,5,4,2,2,5,5,6,,,5,5,,,141,102,243
2011-11-26,05:00:00,25,13,23,27,4,6,14,12,27,15,7,12,7,15,70,57,3,8,8,5,6,2,8,8,,,23,12,,,225,192,417
2011-11-26,06:00:00,34,7,17,10,6,1,23,9,10,3,2,3,9,5,96,63,5,3,15,3,10,2,20,9,1,,13,9,,,261,127,388
2011-11-26,07:00:00,17,13,18,13,10,2,9,8,12,4,7,3,20,4,170,105,5,4,29,8,15,6,8,6,1,,34,11,,,355,187,542
2011-11-26,08:00:00,20,19,15,9,8,3,14,14,14,9,10,5,13,9,158,118,5,6,22,14,22,3,12,8,,1,25,12,,,338,230,568
2011-11-26,09:00:00,12,15,14,6,15,5,11,10,17,18,4,13,15,18,165,135,2,7,29,20,18,2,25,10,2,,23,15,,,352,274,626
2011-11-26,10:00:00,16,9,7,8,5,4,5,7,15,16,2,10,7,11,145,100,5,12,21,12,20,,13,7,1,2,15,14,,,277,212,489
2011-11-26,11:00:00,19,7,20,7,4,3,4,8,9,24,10,18,18,24,130,125,3,4,10,18,23,,23,9,,,32,20,,,305,267,572
2011-11-26,12:00:00,12,4,9,6,6,3,10,12,13,12,6,11,14,20,80,119,10,20,7,17,11,19,15,15,1,,28,18,,,222,276,498
2011-11-26,13:00:00,8,13,5,15,2,4,5,6,13,12,4,10,7,13,123,115,5,17,19,15,25,20,7,12,,,16,17,,,239,269,508
