Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2014-11-20,00:00:00,,,,1,3,2,1,2,2,1,2,2,4,1,158,131,,,3,2,,,,,,,3,3,,,176,145,321
2014-11-20,01:00:00,,,3,2,1,3,2,2,3,1,3,,3,3,152,130,,,4,4,,,,,,,6,3,,,177,148,325
2014-11-20,02:00:00,,,2,1,1,2,3,4,4,4,7,2,3,4,103,154,1,,8,3,,,8,,,,7,4,3,,150,178,328
2014-11-20,03:00:00,,,,2,5,3,2,3,6,1,9,1,7,2,108,169,,2,6,3,,,2,,,1,4,2,,,149,189,338
2014-11-20,04:00:00,,,,1,4,4,3,1,4,,,1,5,2,204,129,,,6,4,,,1,,,,5,2,1,,233,144,377
2014-11-20,05:00:00,,,,,3,2,2,,3,3,,,5,1,189,152,,,2,1,,,1,,,,2,2,,,207,161,368
2014-11-20,06:00:00,,,,2,6,14,1,1,,13,,1,1,34,13,60,,,1,25,,,,,,,,19,,,22,169,191
2014-11-20,07:00:00,,,1,6,2,4,5,,3,2,2,1,6,14,72,85,,7,2,7,1,,1,,1,,7,8,1,,104,134,238
2014-11-20,08:00:00,,,5,,,4,,2,6,5,2,2,12,13,97,100,,3,3,10,,,,,1,,3,7,,,129,146,275
2014-11-20,09:00:00,,,4,1,2,5,2,2,6,1,6,1,8,10,152,134,,,,7,,,,,1,,9,3,,,190,164,354
2014-11-20,10:00:00,,,10,4,,1,,,20,2,5,3,14,12,115,171,,3,8,3,,1,,,1,,4,8,,,177,208,385
2014-11-20,11:00:00,,,1,1,2,4,2,,2,1,,3,11,5,118,124,,2,9,4,,,,1,1,,7,9,,,153,154,307
2014-11-20,12:00:00,,,3,3,,2,,,2,,,3,18,13,116,126,,,5,7,,,,,,,7,6,,,151,160,311
2014-11-20,13:00:00,,,4,2,1,4,,,1,2,,11,19,19,126,100,,,5,4,,,1,,,,8,7,,,165,149,314
2014-11-20,14:00:00,,,3,2,,5,2,3,3,1,,8,12,15,153,96,,2,13,7,,,,,1,,4,2,,,191,141,332
2014-11-20,15:00:00,,,1,,1,4,,3,7,,12,4,9,21,168,118,,,6,9,1,,,,,3,12,8,,,217,170,387
