Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2022-01-12,00:00:00,3,5,2,,,,,,,,,,5,3,10,7,1,2,,,,1,5,3,,,,,,,26,21,47
2022-01-12,01:00:00,1,1,,1,,,1,,,,,,4,1,10,7,1,6,,,,4,2,,,,,,,,19,20,39
2022-01-12,02:00:00,1,3,1,,,,1,,,1,,,4,3,6,4,,5,2,,1,1,5,2,,,,,,,21,19,40
2022-01-12,03:00:00,2,2,3,3,,1,3,1,1,2,1,,7,9,6,9,4,6,1,,5,9,6,3,,,,,,,39,45,84
2022-01-12,04:00:00,4,12,4,5,,1,3,4,,1,1,1,10,7,17,18,2,8,,,7,26,6,8,,,,,,,54,91,145
2022-01-12,05:00:00,2,7,5,14,,,10,18,5,5,3,14,24,19,36,80,5,5,3,2,42,46,12,13,,,,,,,147,223,370
2022-01-12,06:00:00,9,20,8,20,,,21,20,6,3,7,16,7,6,94,157,9,10,4,8,98,104,26,20,,,,,,,289,384,673
2022-01-12,07:00:00,20,11,18,19,1,5,38,27,5,1,6,21,17,36,212,324,18,15,10,6,191,216,41,22,1,1,,,,,578,704,1282
2022-01-12,08:00:00,9,12,14,23,4,1,25,28,9,3,15,24,46,47,327,396,17,23,13,16,240,284,37,34,,,,,,,756,891,1647
2022-01-12,09:00:00,10,7,21,24,,3,31,30,10,,13,22,54,68,469,643,40,32,10,12,323,339,37,44,,,,,,,1018,1224,2242
2022-01-12,10:00:00,12,13,13,23,2,,29,23,2,6,14,20,55,69,640,744,40,31,16,13,420,415,38,47,,,,,,,1281,1404,2685
2022-01-12,11:00:00,19,18,26,28,3,1,28,24,,7,15,22,64,61,698,769,29,30,11,12,465,434,29,44,,,1,,,,1388,1450,2838
2022-01-12,12:00:00,11,13,17,25,3,,25,26,1,7,14,13,73,70,698,793,37,30,11,16,497,443,37,36,,1,,,,,1424,1473,2897
2022-01-12,13:00:00,16,14,20,15,3,2,27,30,,15,18,24,75,81,647,667,32,38,12,15,459,439,44,54,,,3,,,,1356,1394,2750
2022-01-12,14:00:00,13,15,19,22,5,5,24,26,4,4,16,21,87,73,589,637,31,36,14,12,477,420,44,51,,,1,,,,1324,1322,2646
