Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2011-11-24,00:00:00,,2,,1,,,,,,,1,,1,8,14,8,,,,,,,,2,,,,,,,16,21,37
2011-11-24,01:00:00,3,2,1,3,,,1,2,,,,1,2,2,8,2,,1,,,,,5,4,,,,,,,20,17,37
2011-11-24,02:00:00,1,,,2,2,1,,1,1,,,,,,2,,1,3,,,,,1,3,,,1,,,,9,10,19
2011-11-24,03:00:00,4,2,,4,,2,1,6,,3,,2,1,10,1,10,5,1,,1,,,,2,,,1,,,,13,43,56
2011-11-24,04:00:00,4,3,2,3,1,,5,2,,1,2,1,,7,5,7,,3,1,,1,1,,3,,,1,3,,,22,34,56
2011-11-24,05:00:00,1,7,13,8,1,3,10,4,11,8,5,1,3,38,27,38,1,2,1,3,2,,1,5,,1,2,33,,,78,151,229
2011-11-24,06:00:00,20,,50,18,25,2,41,36,26,4,30,4,70,19,100,126,25,2,45,1,45,1,21,3,43,,,26,,1,541,243,784
2011-11-24,07:00:00,8,2,35,10,5,9,10,45,25,10,7,10,22,40,90,255,4,3,24,17,1,1,16,11,,,49,75,,,296,488,784
2011-11-24,08:00:00,10,2,30,10,18,8,10,33,52,11,4,11,29,70,190,255,12,21,22,25,4,1,16,22,,2,60,75,,,457,546,1003
2011-11-24,09:00:00,16,2,34,20,15,5,10,17,34,5,17,5,48,47,195,260,10,8,20,15,,4,28,9,,,56,88,,,483,485,968
2011-11-24,10:00:00,12,5,34,17,23,,13,16,31,7,6,7,31,46,175,235,6,10,21,18,11,2,18,25,,,120,80,,,501,468,969
2011-11-24,11:00:00,4,2,29,16,16,6,10,20,20,11,15,11,37,52,300,300,3,25,18,17,6,9,28,37,1,,103,81,,,590,587,1177
2011-11-24,12:00:00,15,,28,14,11,40,,33,30,20,8,14,62,48,315,85,12,8,14,11,5,5,35,33,,,103,62,,,638,373,1011
2011-11-24,13:00:00,4,1,35,18,10,10,15,34,26,22,11,13,55,64,165,80,30,6,20,13,11,5,38,22,,,92,73,,,512,361,873
2011-11-24,14:00:00,5,5,17,14,12,4,5,31,39,23,14,8,50,70,200,75,50,16,25,18,8,2,26,18,1,1,55,80,,,507,365,872
