Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2013-01-22,00:00:00,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,0,2
2013-01-22,01:00:00,1,1,,,,,,,,,1,,,,,2,2,,,,,,1,1,,,,,,,5,4,9
2013-01-22,02:00:00,,,,1,2,1,,,,1,,,,,1,,,2,,,,,2,1,,,,,,,5,6,11
2013-01-22,03:00:00,1,2,3,2,,1,,2,,,,1,2,1,3,2,,1,,,,,1,2,,,,,,,10,14,24
2013-01-22,04:00:00,3,2,6,4,,,,4,3,3,1,1,3,3,6,7,3,1,1,1,,,2,2,,,,,,,28,28,56
2013-01-22,05:00:00,4,3,6,7,2,3,13,16,8,13,1,2,6,2,23,19,3,2,2,2,1,,3,2,,,12,16,,,84,87,171
2013-01-22,06:00:00,3,3,2,11,1,6,14,4,8,18,5,3,9,3,48,47,2,2,3,3,,1,5,6,,1,6,3,,,106,111,217
2013-01-22,07:00:00,1,2,17,15,3,2,9,3,10,17,6,4,8,8,87,106,3,7,6,7,1,,7,11,1,,17,9,,,176,191,367
2013-01-22,08:00:00,3,2,10,12,2,3,9,2,33,30,3,7,12,24,149,155,5,7,8,9,2,2,10,9,2,,25,24,,,273,286,559
2013-01-22,09:00:00,1,12,9,16,1,8,5,4,31,34,4,6,10,27,228,193,10,5,17,11,1,1,13,18,,1,41,26,,,371,362,733
2013-01-22,10:00:00,6,4,9,7,5,5,4,2,24,28,4,4,12,38,255,200,8,11,15,18,2,1,12,11,3,,45,42,,,404,371,775
2013-01-22,11:00:00,2,3,7,9,7,6,2,1,38,25,3,5,33,41,258,280,8,13,13,11,1,2,13,19,5,,43,47,,,433,462,895
2013-01-22,12:00:00,3,3,12,9,3,6,2,2,23,27,3,3,23,37,265,233,7,13,10,8,1,1,15,20,1,1,33,41,,,401,404,805
2013-01-22,13:00:00,2,5,16,11,5,10,2,5,23,32,4,5,38,45,290,250,7,3,12,10,,2,17,18,1,1,30,54,,,447,451,898
2013-01-22,14:00:00,2,3,9,14,4,6,3,2,30,27,3,6,33,42,270,255,5,8,13,13,,,23,19,2,2,31,42,,,428,439,867
