Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2022-01-19,00:00:00,,2,3,,,,,,1,,,1,3,3,3,9,1,,,,1,,2,5,,,,,,,14,20,34
2022-01-19,01:00:00,,1,,2,,,,,,,,,,2,10,9,,1,,,4,,5,2,,,,,,,19,17,36
2022-01-19,02:00:00,2,3,4,2,,,,,,,2,1,2,2,4,2,1,3,,,3,1,2,1,,,,,,,20,15,35
2022-01-19,03:00:00,1,1,3,5,,,,,,1,2,,4,4,6,2,3,1,,,3,,2,6,,,,,,,24,20,44
2022-01-19,04:00:00,,,12,3,,,,,5,6,5,5,3,2,15,7,7,1,,,10,5,8,4,,,,,,,65,33,98
2022-01-19,05:00:00,,7,11,6,,,1,2,9,13,15,11,4,10,35,53,6,3,5,3,25,13,14,16,,,,,,,125,137,262
2022-01-19,06:00:00,3,5,18,13,,,4,5,19,16,18,10,16,11,111,103,15,16,2,7,76,69,29,28,,,,,,,311,283,594
2022-01-19,07:00:00,2,23,37,8,,,2,5,30,32,30,14,26,37,268,213,30,27,9,18,150,158,29,65,,,,,,,613,600,1213
2022-01-19,08:00:00,10,30,26,27,,,,5,32,36,39,33,63,59,469,443,48,48,11,9,234,278,56,87,,,,,,,988,1055,2043
2022-01-19,09:00:00,6,19,37,45,,1,3,,36,32,37,41,75,75,906,666,62,56,12,15,334,302,59,77,,,,,,,1567,1329,2896
2022-01-19,10:00:00,19,35,44,34,2,,1,1,34,34,47,56,107,116,947,817,66,85,15,18,408,411,70,96,,,,,,,1760,1703,3463
2022-01-19,11:00:00,20,27,34,37,1,,1,,31,29,54,55,105,105,994,928,93,75,11,19,435,447,94,102,,,,,,,1873,1824,3697
2022-01-19,12:00:00,11,22,33,30,2,1,1,2,33,31,49,60,143,113,988,949,88,69,9,14,463,485,89,92,,,,,,,1909,1868,3777
2022-01-19,13:00:00,17,9,29,34,,,4,2,31,21,52,41,105,106,990,1039,67,98,17,8,473,477,80,84,,,,,,,1865,1919,3784
2022-01-19,14:00:00,17,28,28,23,,,2,4,36,28,44,41,113,95,939,1009,83,82,9,13,467,496,84,70,,,,,,,1822,1889,3711
