Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2021-03-15,00:00:00,,,,,,,,,,,,,,,,,2,,,,,,2,1,,,,,,,4,1,5
2021-03-15,01:00:00,,,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,4,1,5
2021-03-15,02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2021-03-15,03:00:00,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4
2021-03-15,04:00:00,,,7,4,,,,1,,,1,1,,,,,1,,,,,,,1,,,,,,,9,7,16
2021-03-15,05:00:00,,,5,3,,,,,,,3,,,,12,11,4,1,1,,1,,1,,,,,,,,27,15,42
2021-03-15,06:00:00,,,,5,1,,,,,1,2,4,,,9,13,6,6,2,,2,,6,9,,,,,,,28,38,66
2021-03-15,07:00:00,,,4,5,,1,,,,,4,5,,,40,35,8,3,,3,,3,15,8,,,,,,,71,63,134
2021-03-15,08:00:00,,,,7,,,,,1,2,7,5,1,2,55,63,13,9,4,2,4,2,23,19,,,,,,,108,111,219
2021-03-15,09:00:00,,,5,9,,,,,2,1,7,7,2,2,83,89,24,13,6,6,6,6,51,39,,,,,,,186,172,358
2021-03-15,10:00:00,2,,,3,3,,,,1,1,17,7,,2,98,73,8,10,2,4,2,4,38,45,,,,,,,171,149,320
2021-03-15,11:00:00,,,2,2,1,1,,,1,1,11,12,3,1,97,73,11,13,3,4,3,4,38,24,,,,,,,170,135,305
2021-03-15,12:00:00,,,4,5,,,,,1,2,7,7,,1,93,67,9,3,3,2,3,2,50,43,,,,,,,170,132,302
2021-03-15,13:00:00,,,4,4,,1,,,1,2,14,15,1,1,61,82,11,11,4,4,4,4,33,29,,,,,,,133,153,286
2021-03-15,14:00:00,2,,2,5,,,,,1,1,8,7,,1,56,81,9,9,,1,,1,23,21,,,,,,,101,127,228
2021-03-15,15:00:00,,,4,6,,,,,1,2,11,13,2,3,62,74,8,15,6,3,6,3,9,25,,,,,,,109,144,253
2021-03-15,16:00:00,,,14,8,,,,,3,1,13,15,2,1,68,84,7,23,3,4,3,4,9,21,,,,,,,122,161,283
