Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2017-02-17,00:00:00,,,3,2,2,,,,,,,,17,3,3,4,2,4,,,,,1,1,,,,,,,28,14,42
2017-02-17,01:00:00,,2,2,1,1,,,,,,,,3,2,3,2,3,3,,,,,3,2,,,,,,,15,12,27
2017-02-17,02:00:00,,1,1,2,7,2,,,,,,,1,1,,3,1,1,,,,,6,,,,,,,,16,10,26
2017-02-17,03:00:00,,1,13,3,14,12,,,,1,,,,4,,1,6,6,2,,1,,2,2,,,,,,,38,30,68
2017-02-17,04:00:00,1,,6,11,14,14,,,2,1,,3,3,7,2,3,17,13,1,,2,2,4,2,,,,,,,52,56,108
2017-02-17,05:00:00,1,,9,14,11,12,4,12,17,8,6,11,7,32,70,90,26,28,5,3,14,26,20,18,,1,,,,,190,255,445
2017-02-17,06:00:00,1,1,7,23,4,,2,5,36,6,5,1,12,10,99,56,27,11,1,2,19,7,2,14,,,7,1,,,222,137,359
2017-02-17,07:00:00,4,7,13,21,12,2,8,8,26,24,,,13,16,136,118,52,21,7,7,21,23,13,2,1,2,,,,,306,251,557
2017-02-17,08:00:00,4,14,4,18,6,2,6,15,45,45,5,,32,48,186,170,31,26,8,10,22,23,3,14,,,1,,,,353,385,738
2017-02-17,09:00:00,3,15,8,22,10,,6,5,31,62,1,,42,36,165,230,30,10,19,9,24,21,20,43,,,2,1,,,361,454,815
2017-02-17,10:00:00,2,22,13,12,18,,13,10,36,60,5,,50,50,231,380,33,23,11,11,23,27,23,42,1,1,2,,,,461,638,1099
2017-02-17,11:00:00,10,16,15,7,11,,9,5,30,105,1,5,42,52,366,322,33,20,12,15,21,32,12,55,,,,3,,,562,637,1199
2017-02-17,12:00:00,5,13,10,24,14,2,8,1,38,55,3,,35,50,138,318,27,23,6,6,17,19,22,57,,,1,3,,,324,571,895
2017-02-17,13:00:00,11,15,3,22,6,5,9,2,28,65,7,1,15,55,276,145,25,32,12,8,27,14,27,38,,,3,1,,,449,403,852
2017-02-17,14:00:00,21,5,3,15,7,,10,1,37,50,25,,25,48,211,182,18,45,11,6,26,18,32,52,,,1,,,,427,422,849
