Date,Start Time (Hrs),Motorized Vehicle,Non-motorized Vehicle,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck,Bus,Car,Motor Cycle,Utility Vehicle,Tractor,Motorized Three Wheeler,Four Wheel Drive,Power Tiller,Rickshaw,Bullock Cart/ Hand Cart/ Tanga,,,,,,,,,,,,,,,,,,,,,,,,
Multi Axle,Heavy,Light,Big,Mini,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,Total,,
2018-10-04,00:00:00,,1,,,,,,,,,,,,,2,6,,,,,,,1,,,,,,,,3,7,10
2018-10-04,01:00:00,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2
2018-10-04,02:00:00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,1,1
2018-10-04,03:00:00,,,2,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,6,4,10
2018-10-04,04:00:00,,,,,,,2,,,,,,,1,5,,,,,,7,5,1,,,,,,,,15,6,21
2018-10-04,05:00:00,,,4,4,,,3,2,,,,,,,11,12,3,,,2,3,10,3,,,,,,,,27,30,57
2018-10-04,06:00:00,,,9,10,,,5,3,,,,,1,,67,66,1,5,8,4,8,32,,,,,,,,3,99,123,222
2018-10-04,07:00:00,,,2,19,,,6,7,,,1,1,1,1,134,150,4,9,25,13,18,64,1,3,,,,2,1,1,193,270,463
2018-10-04,08:00:00,,,8,11,,,5,6,,,2,2,5,5,240,255,8,10,34,46,54,116,,5,,,1,1,4,7,361,464,825
2018-10-04,09:00:00,,,10,12,,,14,18,,,3,9,5,3,250,270,14,12,22,41,41,113,,,1,,1,1,3,6,364,485,849
2018-10-04,10:00:00,,,5,5,,,5,6,,,2,2,5,5,240,255,8,10,34,46,54,121,,5,,,1,1,4,7,358,463,821
2018-10-04,11:00:00,,,13,10,1,,8,9,,,2,2,15,2,260,240,16,14,26,29,90,86,5,2,1,1,,1,1,9,438,405,843
2018-10-04,12:00:00,,,9,13,,,7,6,,,2,1,7,4,120,195,17,13,36,35,100,100,1,,1,,2,,4,1,306,368,674
2018-10-04,13:00:00,,,20,9,,,17,12,,,5,6,7,5,180,200,7,5,32,30,85,71,3,2,1,,1,,4,3,362,343,705
2018-10-04,14:00:00,,,20,10,,,10,18,,,9,1,2,2,225,205,6,8,30,33,85,93,4,2,,,2,,7,2,400,374,774
2018-10-04,15:00:00,,,7,11,,,8,7,,,3,3,7,4,213,220,13,18,34,30,200,120,2,2,,,1,,3,2,491,417,908
